Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.8616516712833854,0.9995299577713013,388.8170060861423,253.43652465667913,0.9999140501022339,438.28983302122344,224.67423533083644,0.9999296069145203,366.0848256086142,226.9556608926342,0.9996140003204346,479.7436310081148,258.66460869225966,0.9983221292495728,312.0698248283395,269.0293383270911,0.9779179692268372,570.1306960049938,455.6912258114856,0.9707930088043213,249.4713151529338,467.667759051186,0.9926633834838867,587.7824594257178,698.6406640137328,0.9941799640655518,209.40977098938822,697.6095798220973,0.9993268251419067,462.75563748439447,671.0663916198502,0.9982154369354248,341.80243445692884,675.5459484238452,0.8357023000717163,493.4994343008739,897.3780820848938,0.8607813715934753,315.0325276997503,965.1984823657928,0.9240044355392456,474.3610525905118,1237.852781679151,0.9280364513397217,315.9382315074906,1235.324106585518,0.10341131687164307,495.2570029650436,1298.9895443196003,0.06573620438575745,510.75871956928836,1301.1296426342071
1,0.8632677548071918,0.9995424151420593,389.40094413233453,253.79335401061172,0.9999157190322876,438.22906913233453,225.09797323657926,0.9999245405197144,366.4013245162297,227.19023096129837,0.9996006488800049,480.1699048064918,258.7456353386392,0.9984792470932007,311.7237730181023,269.79349543539325,0.9743694067001343,569.4648291198502,457.0778714107366,0.9747512340545654,232.6851689294631,466.41946590199746,0.9931566715240479,588.3564489700374,697.9595330056179,0.9944442510604858,209.26571278089887,697.7623673533084,0.9994886517524719,455.57384324282145,669.6856468476904,0.9981392621994019,336.8154552902621,674.6342462546816,0.8449558019638062,492.5510104556804,915.4509987515605,0.8485763072967529,316.3846461454432,964.494479556804,0.935857892036438,474.2548864700374,1234.4472729400748,0.952873706817627,317.4426498127341,1227.1557038077403,0.10212615132331848,492.34652972846436,1300.7086844569287,0.05934992432594299,515.479039872035,1304.575140449438
2,0.8655419209424187,0.9996092915534973,389.1456480181023,255.0346003043071,0.9998714923858643,438.9081519194756,225.69346910112358,0.999933123588562,365.9622737203496,228.36303253745317,0.999620795249939,479.61454431960044,259.93794378121095,0.9985690116882324,311.5069541978776,271.0751940933208,0.9728598594665527,569.1613998127341,458.06038350499375,0.9858500957489014,244.5640703027466,466.86646574594255,0.9934563636779785,590.3586337390761,698.3166549625467,0.9949612617492676,209.32667173845192,698.2314099563046,0.9995851516723633,455.67698579900116,670.2107229244693,0.9979317784309387,334.48614037141067,672.5854400749063,0.8737691640853882,494.7505559456929,894.1400397940074,0.8331445455551147,315.65718632958794,968.0145911360798,0.9212757349014282,473.57434066791507,1237.74607911985,0.9369360208511353,315.7162921348314,1224.754115948814,0.1255389153957367,493.02322292446934,1291.9264005930086,0.0813000500202179,511.34002418851435,1295.1181140761548
3,0.8663892097332898,0.999544620513916,388.03156210986265,253.2177307662297,0.9999160766601562,437.7762659956304,224.83363081304617,0.9999251365661621,365.2464204900125,227.20010631242195,0.9996806383132935,478.57312148876395,260.17358672752806,0.998239278793335,310.29055477528084,270.1662228854557,0.9767193794250488,569.0133426966291,456.1663155430711,0.9817490577697754,245.55599446004987,466.53158161672906,0.9925487041473389,589.108536204744,697.4907830056179,0.9925329685211182,207.32726669787763,698.2476006554307,0.9994613528251648,455.78339575530583,669.4863354400749,0.9972368478775024,339.42215784956306,674.9433325530587,0.8444051146507263,495.39238061797744,909.0297284644195,0.814105749130249,314.6066928058676,959.1722261235955,0.9407994151115417,470.94330329275897,1239.9680087390761,0.9553563594818115,315.592862437578,1227.6705875468165,0.13717451691627502,491.2089380461922,1286.6538896691634,0.09922134876251221,505.61461259363296,1290.7631086142321
4,0.867746486383326,0.9996452331542969,400.70556335830213,251.12188865480647,0.9999541640281677,435.47933247503113,224.16125351123594,0.9999399185180664,362.32190230961294,227.01978971598,0.9997089505195618,476.61087702871407,259.3299879057428,0.99775230884552,306.3194932116105,269.0018580290262,0.9801708459854126,571.9596598002496,447.31258778089887,0.9872353076934814,240.5776958489388,465.57106351435704,0.99252849817276,586.7760026529338,697.3848119538077,0.9916867017745972,203.6313494850187,698.2601825842696,0.9997009038925171,456.5953203027465,668.5918968476904,0.9947950839996338,336.561378355181,673.1759616885143,0.86440110206604,496.1180848158551,893.8055945692884,0.8382712006568909,302.6695146691635,963.1808871722845,0.9421812891960144,469.33086571473154,1242.0306647940074,0.946712851524353,314.7095915262172,1222.6744889200997,0.11422982811927795,488.8431940543071,1287.419729244694,0.10277608036994934,506.4577481273408,1292.6526412297128
5,0.8593951901968788,0.9996957778930664,399.09366221910113,250.06290964419475,0.9999614953994751,432.9502672440699,223.32011743133583,0.999936580657959,360.2781679151061,226.43438865480647,0.9996672868728638,475.72828885767785,258.8366592540574,0.997756838798523,325.3591214107365,274.03865285580525,0.9804466962814331,570.31484082397,446.575179463171,0.9903031587600708,236.95497815230954,463.5097241729088,0.9921653270721436,583.7303955992509,695.6226104088639,0.9884895086288452,202.14907147315853,698.3128023564294,0.9993248581886292,458.2058559612983,668.3483536204743,0.9566060900688171,331.20186680711606,665.517029494382,0.849411129951477,488.40604517790257,900.1974094881398,0.8109009265899658,303.8929853308364,968.7409293071161,0.9464709758758545,470.0548142946317,1240.7267283083645,0.9401026964187622,314.36851396691634,1227.479615324594,0.09197479486465454,484.7684534956304,1292.8718008739074,0.0665040910243988,507.75139474094874,1299.1057077091136
6,0.8644028954646167,0.9996364116668701,398.89576505930086,248.30336590980025,0.9999521374702454,431.759031679151,220.9782937343945,0.9999222755432129,359.21026451310854,224.99804931335828,0.9997196197509766,474.25166783707857,255.44907244850185,0.998099684715271,323.28329822097373,272.4277270599251,0.97527015209198,570.6238295880149,446.1396399032459,0.9879646301269531,240.5927649032459,462.4126092384519,0.9911962151527405,580.2691947565543,696.391376014357,0.9884698390960693,201.69826779026215,698.7166432584269,0.9993482828140259,457.76948735955057,666.1449555243445,0.969535768032074,329.3033122659176,666.2732131710362,0.888721764087677,491.12252262796505,888.937265917603,0.7870227098464966,304.950598860799,963.8194444444443,0.9535279273986816,467.25494499063666,1241.976143102372,0.9525163173675537,311.4677941635455,1229.0790808364543,0.12215209007263184,483.9968106273408,1288.6419319600498,0.0817933976650238,506.30408278714106,1297.6244538077403
7,0.8657882774577421,0.9995540380477905,397.57183403558054,247.53820907459425,0.9999557137489319,429.63444132334575,220.32513069600498,0.9999295473098755,358.19215238764036,225.03101591760299,0.9997007846832275,472.76212351747813,255.18872893258427,0.9983056783676147,321.4470193508115,270.6558452325218,0.9755411148071289,569.553195224719,444.473802278402,0.9877170324325562,239.5769448345817,463.5355220037453,0.9922021627426147,578.5924820536828,696.1827013108614,0.9912430047988892,201.15978074282145,699.4575628121098,0.999216616153717,452.45386626092375,662.5676888264669,0.9912933111190796,333.24155352684136,666.0789735486891,0.874232292175293,490.92760026529334,888.7285424469412,0.8217132091522217,308.0878394194756,964.3214536516854,0.9542104005813599,467.4452832397003,1241.2756515293383,0.9465306997299194,312.34901685393254,1226.7892673220972,0.1009972095489502,483.34737827715355,1292.2755735018725,0.08605790138244629,505.0716877340824,1303.025222378277
8,0.8610606211073258,0.9996089935302734,394.3615402621723,246.26270384675405,0.9999617338180542,425.42320146691634,218.60155274656677,0.9999364614486694,356.2012816011236,224.64792544475654,0.9996116161346436,471.03205953495626,252.80489232209737,0.9989540576934814,319.64497503121095,269.11577812890135,0.9782254695892334,568.320361267166,443.35708294319596,0.9906326532363892,238.6855298064919,463.28651685393254,0.9918464422225952,585.3174742509362,695.7761782147315,0.9927493929862976,202.72735252808985,698.7559495942571,0.998715341091156,449.4674625468165,657.7870923064919,0.9898211359977722,329.9427473470662,668.5955543851435,0.8615153431892395,489.90022237827714,893.6889435081148,0.7625569701194763,303.5790710830212,963.5635143570536,0.9576547145843506,467.5536438826466,1239.2248946629213,0.9524061679840088,310.2670977684145,1225.344881398252,0.10042476654052734,483.3649832240949,1297.8809691011236,0.06340929865837097,507.27313514357047,1307.0914286828963
9,0.8597797716365141,0.9996134042739868,392.9509987515605,245.22410951154805,0.9999725222587585,422.5073150749063,218.12609726123594,0.9999247789382935,355.8446960830212,223.77626111891385,0.9996675252914429,467.58690308988764,257.1007188280274,0.9990420341491699,318.03297635767785,268.82237047440697,0.9772695302963257,565.0923650124844,441.5731800093633,0.9923558235168457,234.45039403870157,462.0931355337078,0.9920116066932678,580.9147745006242,694.3630520443196,0.9885380268096924,202.49263615792756,697.6693196004993,0.998557448387146,441.4104927434456,651.8835342540574,0.9960824251174927,323.89386313982516,668.6265215355805,0.8131479024887085,485.1539579431959,979.7690387016229,0.7527153491973877,300.0707123907615,962.4436251560548,0.962458610534668,465.1605902777777,1237.2635767790262,0.9568399786949158,304.6365870786517,1227.1002067727838,0.10507330298423767,484.4635611735331,1319.7700140449438,0.08298584818840027,506.64457514044943,1307.042856585518
