Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.8576597273349762,0.9997409582138062,514.3213805009364,467.2712210323034,0.9999368786811829,572.424069522472,427.79435861423224,0.9996570348739624,475.45419300093636,433.83522062265916,0.9997808933258057,632.7323267790262,467.3515405547753,0.9978203773498535,421.22103230337086,474.3313655781835,0.9817349910736084,739.4195488061798,705.5601152855805,0.9831430912017822,355.94218164794006,703.2555009363297,0.9972357749938965,828.3974133895131,1006.5310451779027,0.9998073577880859,288.5617831226592,1008.1678663389514,0.9951646327972412,632.7166725187267,1054.2068264279026,0.9961798787117004,484.98478464419475,1057.5513518258426,0.9413529634475708,680.1789998829588,1294.691011235955,0.8617963194847107,434.55085440074913,1298.547811329588,0.9244695901870728,681.6983409410113,1738.5579061329588,0.8350841999053955,435.6707923689139,1763.8845973782772,0.03700125217437744,710.0771008895131,2011.5183169475656,0.030309170484542847,487.2396564840824,2009.6187382958801
1,0.8610623303581687,0.9997591972351074,513.9742801966293,468.10517614700376,0.9999210834503174,575.4832338483146,428.78061358848316,0.9996576905250549,476.82576954588023,433.1236467111423,0.9997880458831787,633.4590063202247,470.1590297284644,0.9979153871536255,421.5077832397004,474.6524607911985,0.9834410548210144,739.3871430243446,705.2531747425094,0.9820048809051514,355.8328212780899,703.1425561797753,0.9962375164031982,827.8446863295881,1007.7754125702247,0.9997854828834534,293.15009070692884,1008.4143843632959,0.99659663438797,634.2829763576779,1053.6060393258426,0.9946112632751465,485.5597495318352,1057.2090063202247,0.941092848777771,683.3292368913858,1296.1295938670412,0.8641597032546997,433.810861423221,1300.4408064138577,0.9246159791946411,682.6126521535582,1738.2508192883895,0.8735804557800293,433.87377106741576,1767.4284585674159,0.04481905698776245,713.5078710205994,2013.3069990636704,0.04007333517074585,486.2084503745318,2005.0847085674159
2,0.8578559616032768,0.9998145699501038,515.2076018258427,469.2138854751873,0.9999300837516785,576.3679921582398,430.54252253043074,0.9997375011444092,478.051410346442,432.9983760533708,0.9998112916946411,633.8712839419477,470.29757724719104,0.9981696009635925,422.35099192415737,474.7476664911049,0.9854912757873535,739.8543568586142,707.1166900749064,0.9810813665390015,352.63496313202245,705.0049742509364,0.9970717430114746,827.1942298689139,1006.9304482677903,0.99967360496521,295.0841965121723,1009.1430389747192,0.9955298900604248,635.0938524110488,1053.0585059691011,0.9959297180175781,481.44860428370794,1050.4373683286517,0.9330313205718994,681.5874444054307,1293.7968164794008,0.8387246131896973,445.4459269662922,1301.9288389513108,0.9060484170913696,684.8362886235955,1743.9410697565543,0.8842787742614746,434.6042544475656,1765.0187265917605,0.033575236797332764,717.0994264981273,2012.241485252809,0.035652339458465576,484.307189255618,2008.2999765917605
3,0.8520000331542071,0.9998260736465454,516.5388723080524,468.9529567532772,0.9999138116836548,577.3028587312734,429.7191011235955,0.9998073577880859,480.7895160346442,432.80427054073033,0.9998050928115845,635.0157274110488,469.6436095505618,0.9982370138168335,423.6889191245318,475.1308301147004,0.9857333898544312,740.2679511938202,706.3988617743446,0.9828622937202454,355.07154143258424,704.767892673221,0.9971683025360107,827.5153616573034,1007.0856741573034,0.9994828701019287,300.20321278089887,1006.73594042603,0.99607253074646,634.5910873127341,1050.2353259597378,0.9961025714874268,482.7219393726592,1046.487886235955,0.9399769306182861,676.0065543071162,1292.3522354868915,0.8675256967544556,440.4425620318352,1320.3622425093633,0.8812746405601501,667.873507724719,1747.2018375468165,0.7781246900558472,439.851723431648,1765.670792368914,0.028610140085220337,719.3591262874531,2017.6117743445693,0.03347715735435486,484.5325667134832,2008.001814138577
4,0.8615155395339517,0.9998264312744141,516.7897062265918,469.1092799040262,0.9999136328697205,577.915788857678,430.00431589419475,0.9997976422309875,480.0362096207865,432.88751609316483,0.999808669090271,635.6424830290262,470.2242436212547,0.9981902241706848,423.45564138576776,475.1862052317416,0.9841936826705933,741.171728698502,705.6298279494382,0.984832763671875,353.9703300561798,704.5261294475656,0.9957408308982849,818.380003511236,1011.8138459737828,0.9984164237976074,305.4636294475656,1007.9252253043071,0.9945104718208313,629.319844335206,1037.257651568352,0.9961113929748535,481.00838307584274,1040.401890215356,0.9293364882469177,672.4796640917602,1283.923513576779,0.9159879088401794,445.2551498127341,1314.051966292135,0.8856279850006104,685.0517907303372,1738.8531425561798,0.8773760795593262,434.59920704588023,1761.5572331460676,0.03780701756477356,718.1430682350187,2014.881788389513,0.04828652739524841,483.9385094803371,2003.314606741573
5,0.8517729552353129,0.9998078346252441,516.1807993913858,468.2681925912922,0.9999113082885742,577.3566245318352,428.69166227762173,0.9997551441192627,479.9615227059926,432.4543539325843,0.9997979402542114,635.4185685861423,469.699533298221,0.998084306716919,423.55615051498125,474.9579748946629,0.9834039211273193,743.2378716058054,706.2884772940075,0.9804311990737915,351.04239817415737,705.5332689606741,0.9981740713119507,814.6030840355807,1011.3438524110487,0.9983083009719849,279.44237183988764,1012.3286077949439,0.99797523021698,635.0228961844571,1032.6431560159176,0.994131863117218,483.09859257958806,1035.845549508427,0.9265445470809937,674.0227059925094,1276.5964419475656,0.8954124450683594,444.59159936797755,1308.0013752340824,0.8765251636505127,667.8154991807116,1746.91874414794,0.7655261754989624,430.6849104634832,1760.418275983146,0.029832929372787476,726.1611949906367,2016.6886118913858,0.03651785850524902,485.20986949906376,2012.7490051498128
6,0.849900517393561,0.99986732006073,517.3350450608615,469.97000819288394,0.999932050704956,577.7570517322098,430.8283225070225,0.9998279809951782,480.0931940543071,433.8337941830525,0.9998377561569214,634.8784234550562,471.066720798221,0.9984058141708374,424.37258602528095,476.8676483497191,0.9839309453964233,744.666652036517,707.2687704822098,0.9816343784332275,349.5205699906368,707.1657742275281,0.998528242111206,812.2912277621724,1012.424069522472,0.9979097843170166,279.2754418305244,1015.0824408941947,0.9974802732467651,635.0468896301497,1027.911253511236,0.9915238618850708,492.3915174391386,1034.9681794241574,0.930712103843689,677.3383368445693,1281.9282537453184,0.875887393951416,436.7172138342697,1304.5669475655432,0.916295051574707,668.4791227762173,1743.6628043071162,0.7113818526268005,434.66840765449444,1766.9528323970037,0.028390973806381226,476.04430009363296,2026.4665262172284,0.036763012409210205,490.9329646535581,2011.717433286517
7,0.8552777714589063,0.9998642206192017,517.4831753277153,470.2307174625468,0.9999344348907471,577.2896184456929,430.98007373595505,0.9998285174369812,480.09560802902627,434.10906045177904,0.9998247623443604,635.0454266151685,470.0666037570225,0.9984561204910278,424.16359433520597,477.4523788623596,0.9844470024108887,743.6706314372659,708.2120493913858,0.9818630218505859,362.0727996254682,714.6561183286517,0.998143196105957,807.3332162921349,1013.8001814138577,0.9977160096168518,281.10538096910113,1013.3049508426967,0.9977253675460815,650.4842579588014,1022.5398671582398,0.9959517121315002,488.6218398876405,1031.6113647003747,0.9266915321350098,671.3023027855807,1281.7990695224719,0.8694705963134766,448.24233380149815,1309.6532654494383,0.8942869901657104,683.7235925795881,1742.4577188670412,0.8256552219390869,432.5735896535581,1762.80781835206,0.036428630352020264,727.4919534176031,2014.6084971910113,0.033434778451919556,487.24938553370794,2009.84375
8,0.8561044440549963,0.9998328685760498,516.224616690075,470.2526626872659,0.9999344348907471,577.0508544007491,431.0608321629214,0.9998143911361694,479.2173601357679,434.4827144779963,0.9998120069503784,634.8416286282772,470.1322565543071,0.9982173442840576,422.56188553370794,476.05691859784645,0.9830737709999084,744.2893404728466,708.3564489700375,0.9846789240837097,361.19674625468167,714.8515771301498,0.9983376264572144,806.23829588015,1014.8514308286517,0.9966427087783813,281.25212137172286,1014.2043393024345,0.9964241981506348,643.007666198502,1016.2974016853933,0.9959372282028198,479.35722436797755,1025.0960469335207,0.9231897592544556,676.5054424157304,1284.4500526685395,0.873967170715332,445.2670733848315,1301.9374707397005,0.8937996029853821,687.3271447799625,1737.8601942883895,0.8365050554275513,428.03290320692884,1763.7404904026218,0.03401932120323181,719.0541608146068,2011.2295177902622,0.039589136838912964,489.2289179541199,2015.1760007022472
9,0.8569087175761952,0.9997557401657104,512.8777504681648,468.2722890332397,0.9999279975891113,574.1024403089888,428.8057408707865,0.9996618032455444,475.7059778792135,433.7630574087079,0.999774158000946,634.5854547050562,469.22467521067415,0.997970461845398,421.36865051498125,475.44823121488764,0.9799411296844482,745.8648613061798,708.5350099485019,0.9839870929718018,361.79475362827714,714.4778499531835,0.9983552694320679,803.2451135299625,1013.4968252574906,0.9955211877822876,282.48544300093636,1012.7545646067416,0.9983841776847839,661.0687324438202,1012.2901305009364,0.9975693821907043,468.4543978230338,1018.8801351825844,0.921600878238678,673.9076398642324,1294.0342638108614,0.8985073566436768,445.6566011235956,1299.8067357209738,0.877605676651001,669.4757285814608,1748.9814489700375,0.8551680445671082,430.86976240636704,1764.6168363764045,0.02139800786972046,727.9923776919477,2019.1703242041199,0.04231983423233032,488.3180448267791,2009.5372483614233
10,0.8601991060902091,0.9997665882110596,512.8721910112359,468.7467082162922,0.9999379515647888,573.5194288389514,429.92502048220973,0.9996201992034912,474.793202832397,434.4893711961611,0.9998095631599426,633.9264396067415,470.18412043539325,0.9979474544525146,420.79002808988764,475.35401305009367,0.9794696569442749,746.2287131320224,709.7915203651686,0.9846009612083435,362.3779845505618,714.9307262406368,0.9984366297721863,800.4689694522472,1014.5550971441947,0.9929546117782593,286.35994557584274,1014.7444112827716,0.9980486631393433,660.4944259129213,1007.96640917603,0.9980370998382568,461.2803575608615,1011.6156805945693,0.9095826148986816,668.9867158239701,1281.541725187266,0.900241494178772,434.13309047284645,1295.7872483614233,0.8828821182250977,685.8657391151685,1741.299449906367,0.8880916833877563,431.6690074906368,1761.434925093633,0.041645318269729614,723.5507373595506,2014.007344335206,0.05231219530105591,486.74830290262173,2002.6922401685395
11,0.8438675456187305,0.9997469782829285,511.97082748127343,468.5493474953184,0.9999348521232605,570.4857209737828,429.60099923923224,0.9995938539505005,474.77988939606746,434.7118591994382,0.9998164772987366,631.8176498127341,469.27624648876406,0.9978557825088501,419.55378043071164,475.3141824672285,0.980379045009613,749.3305243445693,710.7124151451311,0.9859011173248291,362.9985223548689,714.2011938202247,0.99853515625,795.743284761236,1016.40390917603,0.9941912889480591,296.1282771535581,1028.1288038389514,0.9990235567092896,655.161809456929,1002.431018843633,0.9973778128623962,449.3528353230338,1009.3579558754682,0.9055556058883667,669.5379798689139,1284.8314606741574,0.8887312412261963,434.8348256086142,1304.5962078651685,0.8998039960861206,666.2503657537454,1761.0628803838952,0.6525430083274841,441.01584445224717,1765.2598314606741,0.02139154076576233,721.5031747425094,2020.4585088951312,0.02536696195602417,485.7745201310862,2016.24531835206
12,0.8434319145539227,0.9997119903564453,509.21063026685397,471.64431911282776,0.9999520778656006,568.0827920177903,431.5505764279026,0.99950110912323,471.1906747425094,436.65229254447564,0.9998162984848022,630.4879886470037,470.0215794709738,0.997603178024292,418.31760592228466,476.85517614700376,0.9786925315856934,753.0620903558054,711.4017146535581,0.9834133386611938,365.5357560861423,715.9271857443821,0.998521625995636,786.9009685159176,1016.6316274578652,0.9975135326385498,301.6417954119851,1030.4715297284645,0.9995118975639343,652.4343106273409,1001.3232970505618,0.9961477518081665,446.0028967696629,1008.1624531835206,0.8851580619812012,670.8020248127341,1299.0493328651685,0.8934299945831299,446.4926410346442,1328.6268141385767,0.8719640970230103,668.1064928604869,1755.8308462078653,0.6834102272987366,430.28572682584274,1761.5721558988764,0.02578788995742798,721.2684339887642,2021.2454646535582,0.028206944465637207,485.3047460205993,2022.4888810861423
13,0.8615395724773407,0.9996832609176636,507.75734433520597,471.41656425561797,0.9999563694000244,567.3073209269663,432.55515566479403,0.999530017375946,494.72092989232215,435.3743855337079,0.9998189210891724,630.9418158941949,471.31276334269666,0.9975489377975464,417.7719013342697,476.73440426029964,0.9819632172584534,753.9808637640449,712.1027182818352,0.9861578345298767,364.15715706928836,716.7818059456929,0.998545229434967,780.2945049157304,1018.918831928839,0.9981172680854797,309.19007490636704,1028.683359667603,0.9996020197868347,661.3887669709738,1001.3877428604869,0.9896047115325928,451.9502721207865,1009.4318381320226,0.908423900604248,669.5638752340824,1294.0983438670412,0.8796193599700928,449.89480922284645,1321.5885416666667,0.9082551598548889,683.6679980102997,1741.4248302902622,0.9299008846282959,434.75384772940083,1759.8945166198503,0.027945518493652344,464.2369645365169,1999.3782186329588,0.04150012135505676,482.8339331694757,2004.7533356741574
