Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.7772910717655631,0.9997629523277283,548.9465560627341,579.4714126872659,0.9999603629112244,579.3196980337079,553.5802171114233,0.9999017715454102,509.980395599251,548.3000863178839,0.9996815919876099,638.4465706928838,604.6953637055244,0.9996312856674194,435.70041842228466,602.21913769897,0.9767628908157349,753.9995172050562,848.705231741573,0.9773547649383545,321.684222846442,852.1537775046817,0.994515597820282,826.5200725655432,1152.733131437266,0.9985841512680054,268.65219744850185,1178.0890098314608,0.9989039301872253,616.4182467228466,1054.5781396301497,0.996209979057312,490.8815396769663,1054.8637933052435,0.858492374420166,706.4823999297753,1450.4977176966293,0.8695275783538818,422.18918246722853,1544.4343984082398,0.2707141637802124,693.417822448502,1945.2557350187267,0.25984153151512146,434.39409234550567,1953.792427434457,0.007744491100311279,397.71974485018734,1921.3737710674159,0.006358802318572998,400.1587371254682,1929.0766912453184
1,0.7706096593071433,0.9997715950012207,547.5748332162922,578.4788667485956,0.9999595880508423,579.10390332397,552.930236130618,0.9999076724052429,508.3939021535581,547.7313026685393,0.9996953010559082,637.8231800093633,604.3962137172285,0.9996016025543213,435.69968691479403,601.4603815543071,0.9810277223587036,750.4664091760301,848.370713366105,0.9774677157402039,323.92724426498125,851.5938085205993,0.994439959526062,826.6311154026218,1152.8443937265918,0.9984018802642822,269.1710557116105,1175.9184076544943,0.9983457326889038,616.6157537453184,1054.4630735018727,0.9961367845535278,492.5634216994382,1054.4642439138577,0.8501710295677185,707.2731595271537,1447.5119967228466,0.8531967401504517,418.1646477059926,1529.4095271535582,0.27914801239967346,699.0158298220974,1943.413360252809,0.16014888882637024,434.4195488061798,1956.3964477996255,0.006850153207778931,730.4231770833335,1938.844218164794,0.006093829870223999,399.14245376872657,1927.5469627808989
2,0.7724641842000625,0.9997721314430237,547.9506086142322,577.9697009597378,0.9999532699584961,578.9840823970038,552.3773993445693,0.9999091625213623,508.94224016853934,547.5457923689139,0.9996950626373291,636.941713483146,604.1559866573034,0.9996368885040283,435.7050269194757,600.939219042603,0.9816246032714844,750.0355512640449,848.1739378511236,0.9776850938796997,320.9022413389513,851.2377106741574,0.9932701587677002,824.5504154962548,1153.4024607911986,0.9986008405685425,269.22182233146066,1177.2524578651685,0.9983229637145996,617.0411253511236,1054.981346558989,0.9952532052993774,493.59418890449444,1052.9264688670412,0.8555080890655518,706.4183930243446,1451.2238120318352,0.8719887733459473,424.9696424391386,1553.1195868445693,0.3278806209564209,696.2403441011236,1939.977030664794,0.12089118361473083,436.4811563670412,1958.0964712078653,0.00690382719039917,726.2433432818352,1938.0947155898878,0.004995256662368774,724.0752282303372,1976.5156835205994
3,0.7661163561484393,0.9997843503952026,548.1003481975656,578.4602498829588,0.9999593496322632,579.6885972612359,552.653836025281,0.9999115467071533,509.22877165262173,547.7788872308053,0.999685525894165,638.1862271769664,604.376719042603,0.9996470212936401,436.2708479634832,601.0684764161986,0.980376660823822,751.3456080290262,847.5855863764045,0.9762603044509888,323.0487769194757,851.235004096442,0.9928117394447327,826.8821687734082,1151.9003101591761,0.9986036419868469,269.38538740636704,1176.8203563904494,0.9985799789428711,618.8333918539327,1055.389600889513,0.9946172833442688,496.52775339419475,1053.0859375,0.8258944749832153,704.7422167602997,1449.525397940075,0.8761639595031738,413.29522179307116,1449.4525397940076,0.23537474870681763,696.9416403323971,1945.5439489700375,0.1339726746082306,437.94841409176036,1931.6548162453184,0.006564617156982422,419.5926966292135,1953.3906835205994,0.005770176649093628,423.0762816011236,1964.3546640917605
4,0.7651722501305973,0.9997748136520386,548.8976913623596,578.6725699321162,0.9999616742134094,580.6044446395132,552.7916886118915,0.999914824962616,509.11611949906376,548.041096090824,0.9996436238288879,639.268053604869,604.5725435978464,0.9996616840362549,437.036955758427,601.7451939957865,0.9769200086593628,752.6831694756554,847.5539121020599,0.979523241519928,322.80277095037457,851.2915496254682,0.9940459728240967,827.9361247659176,1153.4056062734082,0.9988022446632385,271.34078007958806,1176.3066918305244,0.9985824823379517,619.4802639279026,1055.1317444990636,0.9923352003097534,498.19332279962555,1052.4647413389514,0.801612377166748,705.7275573501872,1452.9691889044943,0.8497948050498962,421.4206606975656,1511.8267205056181,0.2665260434150696,694.3021418539327,1946.981800093633,0.1370665431022644,439.3240139279027,1952.337751638577,0.007464170455932617,724.6353435159176,1937.8378101591761,0.006298542022705078,419.6662862827716,1961.3354400749065
5,0.7681874264689053,0.9998010993003845,549.9215092462547,579.5554263225656,0.9999645948410034,580.417032420412,553.4507768609551,0.9999173879623413,511.51977996254686,549.1698852996254,0.9996532201766968,639.2824643024344,605.639922752809,0.9997079372406006,437.8543422284645,602.840004681648,0.9778764247894287,748.1463600187267,847.7553692649813,0.9787170886993408,314.3314021535581,862.0023554541199,0.9945939779281616,827.3099543539327,1154.0493328651685,0.9987508058547974,272.0597056413858,1176.431340706929,0.9986704587936401,617.4542076310861,1054.3638810861423,0.9920695424079895,496.8566391619851,1054.9112681413858,0.8116271495819092,706.7777095037454,1452.8261060393259,0.8677753210067749,419.02321804775283,1535.1070926966293,0.24643775820732117,696.1847495318352,1954.790788857678,0.18161100149154663,440.2385445926967,1955.2083333333335,0.007237434387207031,725.3561709971912,1934.4440543071162,0.004775047302246094,402.31602586610495,1928.6512464887642
6,0.7644036710262299,0.9998059868812561,549.9016853932585,580.0407449672285,0.9999669790267944,580.437660931648,553.9783034878277,0.999920666217804,511.4088102762173,549.5462459035581,0.9996380805969238,639.1894165496255,606.4933359667604,0.9996998310089111,437.80884246254686,602.8365300210675,0.9801132678985596,746.0061154026218,848.1816186797753,0.9816768765449524,315.86369089419475,862.179307116105,0.9948111176490784,828.8347085674159,1155.0600567649813,0.9987398982048035,271.2180331226592,1178.4803663389514,0.998342752456665,614.7605775983147,1052.7348870552435,0.9925215840339661,494.89356566011236,1056.2068410580525,0.8259004354476929,702.9840385065543,1452.124297752809,0.804589569568634,429.99114875936334,1531.09843164794,0.276928186416626,695.6468720739701,1946.2088892790264,0.12823602557182312,441.9927727059926,1957.7879213483147,0.009152352809906006,722.9355395599252,1935.8416725187267,0.0048187971115112305,730.2554424157304,1929.044066011236
7,0.7751940664123086,0.9997733235359192,550.0089243913858,578.9367172869851,0.9999632835388184,581.1714360955057,553.1796436095506,0.9999167323112488,511.5126111891386,548.63047167603,0.9996440410614014,639.7343164794008,605.7374692766854,0.9996934533119202,437.9873302902622,602.5575696395131,0.9788146018981934,748.9925678838952,847.9924508426967,0.9792335033416748,315.3969891151686,860.6975655430712,0.9954158067703247,829.3330114700375,1154.0765449438202,0.9989879727363586,273.30407303370794,1176.5990753745318,0.9986017346382141,615.1161633895131,1053.1252194522472,0.9922736883163452,495.636484667603,1055.0350392088014,0.8203433752059937,702.8547811329588,1450.1953125,0.8567377328872681,428.8251258192885,1504.1379915730338,0.3666404187679291,691.1202305711611,1937.9166666666667,0.1767214834690094,439.71127399344573,1954.215238764045,0.008482038974761963,708.5793393024344,2026.3965941011236,0.007055938243865967,723.3238237359551,1983.647588951311
8,0.7656593340284684,0.9997648000717163,550.1517878043071,577.9944990636704,0.999960720539093,581.4412160580524,552.6602732911986,0.9999189376831055,510.91423806179773,548.0839258544007,0.9996761083602905,640.0223109784645,605.3935510299626,0.9996974468231201,438.30319522471916,603.0436197916667,0.9783022403717041,752.80547752809,848.0011557818352,0.9817508459091187,328.58914150280907,850.4356858614233,0.9948980808258057,829.699057818352,1153.8093984082398,0.9989384412765503,273.5361072097379,1177.0343223314608,0.9988139867782593,618.764995903558,1054.5227645131085,0.9924924373626709,494.6881583567416,1056.6495493913858,0.838375449180603,705.0783444522472,1453.9971032303372,0.8518247604370117,423.23370201310865,1536.6249707397005,0.28541308641433716,689.9168275983147,1944.9220213014983,0.08574768900871277,439.23784234550567,1962.8543422284645,0.005614519119262695,722.513679190075,1934.8434573970037,0.005019128322601318,726.2021594101125,1985.17892673221
9,0.7717327002216788,0.9997615218162537,550.3360545411986,578.4282464302435,0.9999619126319885,581.3900105337079,553.0201384012172,0.9999184608459473,511.01328417602997,548.3057920763109,0.9996647238731384,640.2987476591761,605.4870376872659,0.9997010827064514,438.46639454588023,603.0352074555244,0.9776688814163208,754.1118767556179,847.8522940074906,0.9813022613525391,328.0097144194757,850.5955202481274,0.9953054189682007,829.2993621254682,1155.3245698735955,0.9990602731704712,275.4075959737828,1175.0251638576779,0.9987938404083252,621.6831987359551,1056.334854868914,0.9928296804428101,494.6282478932585,1057.5664208801497,0.8353066444396973,703.6746547284645,1452.327656835206,0.8395994901657104,428.6445897705993,1526.8602235486892,0.304493248462677,691.1528558052435,1941.0561505149813,0.18076762557029724,440.58037804307116,1952.983526451311,0.008326321840286255,718.6058930243446,1980.0867567883895,0.006994515657424927,726.0489085908241,1979.3091643258429
