Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.7158518345916972,0.9997308254241943,955.0,223.2105132256554,0.9999867677688599,987.9294680477528,182.31555038623594,0.9999818801879883,909.1374063670412,190.5472407537453,0.999751091003418,1049.5262025983147,218.58102176966293,0.9995794296264648,851.4264396067416,232.64973958333337,0.9877012968063354,1179.843603698502,423.25352586610495,0.9900126457214355,745.6817649812734,433.0187119616105,0.9944750070571899,1256.2321512172284,718.7625819288389,0.9894940853118896,665.1980922284645,741.9842872191011,0.9824297428131104,1173.7493416432585,758.1254389044943,0.9982836246490479,772.1785024578652,742.2530430711611,0.4510941207408905,1128.7571687734082,1015.0266268726593,0.622025728225708,793.4971178604869,1078.6977703651685,0.011922299861907959,1177.5446951076779,1307.016180945693,0.08796826004981995,784.2412072799626,1245.4804541198503,0.02644747495651245,1440.7699847846443,1115.5095681179776,0.0285969078540802,765.7988793305244,1220.7617919007491
1,0.7076229418025297,0.9997526407241821,953.9699643024345,223.35308403558054,0.9999861717224121,986.2250555945693,182.06080290262173,0.9999823570251465,907.3998566245318,190.64764015683522,0.999792754650116,1049.3708304073034,219.1511587078652,0.9995011687278748,850.3157186329588,232.11727528089887,0.9921720027923584,1182.317342579588,423.6722407537453,0.9892778396606445,736.865856156367,429.0243153089888,0.9959263801574707,1255.1673689138577,733.7666783707866,0.9926883578300476,681.8763898642322,760.8118270131085,0.9578120708465576,1176.0278411750937,759.9049040262173,0.9943993091583252,774.6545090121723,723.33282127809,0.385099858045578,1117.9724806882023,1058.0139571629213,0.5900256037712097,787.9282244850187,1070.1163096910113,0.01330643892288208,1176.6056589419477,1309.3888986423221,0.078804612159729,780.0863910346442,1243.6174508426966,0.010656386613845825,762.1052054073034,1209.6907186329588,0.030406057834625244,760.2141122425094,1216.5971734550562
2,0.6926322281360626,0.9997357130050659,953.527036516854,223.77640742041206,0.9999854564666748,985.791637406367,182.16610340589887,0.9999812245368958,907.2216613998128,190.74222407537457,0.9997857809066772,1049.3858994616105,219.29329061329588,0.99946528673172,850.3610720973783,231.94983321629218,0.991447925567627,1180.8493533473784,422.0362974016854,0.9923934936523438,743.4648583801498,426.7953388342697,0.9976160526275635,1252.082748127341,743.4354517790262,0.9866880178451538,699.6524607911986,766.3666022940076,0.9850720167160034,1182.2400222378278,744.516254096442,0.9787717461585999,783.824686914794,705.1794387874531,0.2529779374599457,1124.7444844335207,1075.0773934925094,0.4864192605018616,779.5453680945693,1182.728669241573,0.011463046073913574,1067.02890917603,1248.7886235955057,0.05702903866767883,788.0860106507491,1243.565074906367,0.01131168007850647,761.3228581460675,1216.5701076779026,0.024604201316833496,759.7048367275281,1223.3647881554307
3,0.6969518047921798,0.9997247457504272,953.4263810861423,223.7186183286517,0.9999854564666748,985.6346558988764,182.2862900866105,0.9999817609786987,907.0754330524345,190.93044095271534,0.9997705221176147,1049.2502048220974,219.7659176029963,0.9994893670082092,850.7118299391386,232.1907186329588,0.9757323265075684,1168.502969920412,419.54324672284645,0.9942728281021118,742.4500380383895,420.37694580992513,0.998213529586792,1242.8748244382023,738.2215589887642,0.9841560125350952,717.2667954119851,772.159995318352,0.9565935134887695,1185.5575550093633,747.357429190075,0.9449071288108826,761.4622103230338,697.2928370786517,0.25617966055870056,1129.9353347378278,1074.409234550562,0.6151838898658752,790.6715970271536,1085.9669066011236,0.010496824979782104,1060.5041549625469,1249.9372366573034,0.08041128516197205,785.2149169007491,1246.37186914794,0.013957947492599487,1442.6028499531835,1114.520862593633,0.019123882055282593,764.8455056179776,1214.6719920411986
4,0.6868500288795022,0.9997237920761108,953.5206724016854,223.54912804307116,0.9999856948852539,985.535317181648,182.35311329588012,0.9999816417694092,907.2133222144195,190.92276012406364,0.9997619390487671,1049.0687909644196,220.07732034176036,0.9994970560073853,850.8097787921348,232.26489349250937,0.9801483154296875,1178.5034088249065,419.7703797986892,0.9948937296867371,746.0026773174158,418.18564197097385,0.9969662427902222,1209.308140215356,750.4988149578653,0.9827321767807007,700.1768053604869,801.4593574438202,0.9744312763214111,1130.2089185393259,710.1356946395131,0.9569222927093506,791.9807759831461,688.0863764044943,0.22077500820159912,1120.1945809925094,1063.2552083333335,0.48281487822532654,788.1899578651686,1091.8555419007491,0.008725583553314209,1127.486320809925,1253.5422518726593,0.039067864418029785,788.4729781132959,1239.3891912453184,0.008378744125366211,765.8101445458801,1208.6900163857679,0.03164425492286682,757.5168978230338,1165.9951427902622
5,0.6895003336317399,0.9997257590293884,953.7381495786517,223.3279933286517,0.9999880194664001,985.2705846207865,182.73609404260299,0.9999819397926331,906.8204295411986,191.16112183988764,0.9997897744178772,1049.181808871723,220.2525895365169,0.9995093941688538,851.6524022705993,233.01607853464418,0.9791402816772461,1174.2082894428838,418.9078593164794,0.9949017763137817,742.1806238295881,414.14303897471916,0.9923168420791626,1216.3987886235955,754.6618972378278,0.9932206273078918,727.948048338015,795.9606156367042,0.9911071062088013,1118.0687470739701,702.9549976591761,0.9011310338973999,807.2343164794008,672.9154231039327,0.26801156997680664,1117.371254681648,1068.1209035580525,0.50152987241745,807.4604985955057,1094.8141970973784,0.010209083557128906,1194.037116690075,774.6523876404494,0.025778204202651978,795.4525105337079,1240.4064255617977,0.013375699520111084,1200.0073882256554,797.2524578651685,0.05178868770599365,759.2436212546817,1165.8160697565543
6,0.6923483084229862,0.9997249841690063,953.270862593633,223.269692181648,0.9999868273735046,984.5594130383895,182.6024110486892,0.9999818801879883,906.4878862359551,191.26086288623594,0.9997832179069519,1049.168129681648,220.02918714887642,0.9994958639144897,851.9941625702247,233.46449262640454,0.985012412071228,1179.4206460674159,420.2084796348315,0.9949216842651367,738.3613500702247,414.3884597378277,0.9986916780471802,1190.6874707397003,767.5468164794008,0.9951176643371582,737.1956928838952,786.5774959035582,0.9961844682693481,1100.0510592228466,685.661794826779,0.9376063346862793,806.2370523174158,677.7090648408241,0.24966534972190857,1109.2974602059926,1076.4583333333335,0.5314246416091919,812.6950198970038,1087.670002340824,0.009751856327056885,1066.1970388576779,1249.188758192884,0.031672537326812744,790.7437236657304,1242.9200316011236,0.008514404296875,1441.7367450842696,1111.0239641853932,0.032385438680648804,757.7334971910112,1164.8740344101125
7,0.7197232632076039,0.9997206926345825,953.5608321629214,222.71601416198507,0.9999862909317017,984.5578037219101,181.53810422518734,0.9999819397926331,906.7098256086142,190.74606448970042,0.9997893571853638,1049.2883895131085,218.96813553370794,0.9995174407958984,852.3637933052435,233.87084503745325,0.9888657927513123,1176.4984199438202,418.0874736657304,0.9945532083511353,737.6543480805244,415.2465911750936,0.9986153841018677,1173.9171494616105,762.9717491807116,0.9881478548049927,752.2397296348315,784.8391415028091,0.9967046976089478,1077.0986949906367,679.027972846442,0.9739549160003662,841.1064782303371,664.8790086610488,0.5373722314834595,1102.6093603698503,806.0607590121724,0.6480178833007812,813.1574057818352,1081.986481741573,0.009634435176849365,1160.8222875702247,887.0897705992509,0.06066465377807617,796.646257607678,1245.4437324438202,0.011943459510803223,1185.9526422050562,789.7267819522472,0.027825236320495605,773.643126755618,1220.3901860955057
8,0.7161900558892418,0.9997447729110718,953.6588541666667,221.29367099719104,0.9999869465827942,984.595476357678,180.21926937031833,0.999983549118042,907.6468135533709,189.81214887640454,0.9997738599777222,1049.9858087546818,219.06052492977528,0.9994977712631226,852.7665613295881,233.85921406835212,0.9881073236465454,1174.5101094335207,413.3590092462547,0.995993435382843,744.4229137406368,414.1941713483146,0.9975426197052002,1174.1938055945693,766.7005354634832,0.9798958897590637,744.0186827013109,787.0864788155432,0.9991024732589722,1054.190074906367,664.4226211376406,0.9741640686988831,864.7586025280899,656.3045704588014,0.4810032248497009,1100.7446746254682,1068.6180360486892,0.622185230255127,807.2215882490636,1083.969305945693,0.015862464904785156,1163.7203739466293,871.3769897003747,0.07635432481765747,787.1526070926967,1245.8900983146068,0.013061881065368652,771.8169183052435,1208.3655196629213,0.03297111392021179,767.6876316713483,1218.7173747659176
9,0.7120977920644423,0.9997479915618896,954.3987008426967,220.5891561329588,0.9999887943267822,985.4706519194757,180.06141005383893,0.9999849796295166,909.3006056882023,189.48476269897003,0.999779462814331,1050.325155079588,219.26029962546818,0.9994711875915527,853.5793393024345,233.32484784644203,0.9857533574104309,1175.3052580758426,409.6321248829588,0.9953904747962952,745.4648730102997,413.92980454119856,0.9990518093109131,1156.8224777621724,763.2805916432585,0.9889465570449829,752.8618036048689,780.1351825842696,0.9954656362533569,1042.776802434457,660.6698414091761,0.9284312725067139,881.5984901685393,649.9376024110488,0.43964308500289917,1096.2068410580525,1079.8819346910113,0.6482638120651245,813.5721705290263,1079.1059515449438,0.012263953685760498,1051.6398203417602,1239.0377750468165,0.06946918368339539,788.8586288623595,1245.3960381554307,0.013371586799621582,1930.8453300561798,979.4327890917602,0.030639320611953735,770.362900866105,1218.8746488764045
