Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.8366935358327978,0.9996305704116821,335.7320439294631,248.92219686329585,0.9998737573623657,387.88935705368283,224.43013128121098,0.9998140931129456,317.9804053526841,223.2458694210362,0.9989966154098511,418.4193586142321,275.31557233146066,0.9982240200042725,264.2645423689138,274.35003121098623,0.9529781937599182,517.7860194288389,466.7401587858926,0.9402181506156921,193.87655079588012,468.08018297440697,0.9917511343955994,562.8891619850186,699.887396613608,0.9964184761047363,145.23744733146066,662.3117587390761,0.9636582732200623,558.1348509675405,857.2766463795256,0.9373549818992615,121.53392244069909,762.2856195380774,0.7634139060974121,453.9836922596753,930.5200530586766,0.8308115005493164,251.00382334581775,907.5353074282147,0.9521510601043701,420.9058013420723,1257.415047596754,0.690284013748169,268.728201076779,1254.000663233458,0.09002545475959778,270.9826096285892,1302.3930048377028,0.11818590760231018,271.12652153558054,1309.4226942883895
1,0.8507488001795376,0.9997016191482544,348.3622034956304,250.46070341760299,0.9998999834060669,384.68145287141067,224.53249356273406,0.9998250007629395,315.03369811173525,222.54140332397003,0.9989604949951172,419.0284605181023,271.39471656523096,0.9978958964347839,261.1043812421972,274.91792485955057,0.9730391502380371,529.9637659956304,472.6434730024969,0.9579841494560242,214.32618406679148,468.3029026217228,0.9928157329559326,560.6216838327091,698.0588229556804,0.9984633922576904,156.15387991573033,656.9906269506866,0.9712940454483032,561.2526334269662,851.0049937578027,0.927544891834259,108.5314987125468,733.1999063670412,0.7722313404083252,454.5445146691635,915.5306843008739,0.8540976047515869,262.6033376248439,910.8804424157303,0.9663068652153015,415.88331967852685,1255.4855259051185,0.735756516456604,271.9528323970037,1268.43984082397,0.10220921039581299,269.3858263108614,1301.8782186329588,0.21470370888710022,99.59986540262167,753.3416237515605
2,0.8417471173931571,0.9997315406799316,346.62501950686635,251.27435919943818,0.9999143481254578,382.62255188826464,224.79186173533083,0.9998581409454346,312.61733380149815,223.74975616416978,0.9989566802978516,418.74102684144816,270.2117958021223,0.997929573059082,258.336356897628,274.04387094257174,0.9743025302886963,530.9234062890137,472.66234589575527,0.942947506904602,215.56667446941321,467.24041237515604,0.9909850358963013,558.6234004369537,697.9948892009987,0.9932523965835571,162.9972787921348,650.0350635923845,0.938015341758728,558.2289715980024,839.45078417603,0.9465368390083313,104.76906308520597,707.1229322721598,0.7894012928009033,454.53359082397003,913.0145911360798,0.8457255959510803,261.9976981897628,906.4129798689138,0.9610346555709839,417.242753199126,1256.0986267166043,0.6727555394172668,271.51695146691634,1270.2830446317103,0.10895422101020813,124.31543090667913,707.0999629369537,0.1493997573852539,132.9936212546816,700.5427297908864
3,0.835621244767133,0.9997865557670593,343.35332787141067,252.67480590667913,0.9999424815177917,380.1775612515605,225.19341058052433,0.9999170303344727,310.83977059925087,225.24454295411985,0.9985412955284119,417.77982599875156,270.4601913623595,0.9982741475105286,256.4566752496878,274.1264337546816,0.9744269251823425,530.3167427434456,472.2809378901373,0.9474258422851562,213.6550015605493,468.8715765449438,0.9963040351867676,558.1880071785268,695.0321375624219,0.9917221069335938,163.03044046504368,657.2163213951311,0.8745293617248535,567.6350850499375,828.6181335830212,0.9791315793991089,102.05041549625469,725.7530625780274,0.8153272271156311,452.7565640605493,913.2601825842696,0.8135725259780884,259.17500585205994,903.5740480649188,0.9578375816345215,417.64454588014974,1256.3046192259674,0.6542140245437622,270.3945263732834,1253.0799391385767,0.09629625082015991,271.43682701310854,1300.102118445693,0.10831218957901001,271.997893258427,1306.4832045880148
4,0.8266489049967598,0.9997732639312744,342.1829158863919,253.60099192415728,0.9999570846557617,378.227313514357,225.46767712234706,0.9999446272850037,309.9111462234706,226.22286107209737,0.9983792304992676,432.9322233926341,269.9002711454432,0.9982877969741821,254.08244577091136,274.2628842852684,0.9762388467788696,527.2774266541822,471.9985272315855,0.959384560585022,199.8303390293383,472.19135260611733,0.9950976967811584,559.9022705992509,695.2686095505618,0.9938747882843018,156.32456499687885,662.3068820224719,0.8668593764305115,557.2973236579276,823.9664286828963,0.9930581450462341,96.27116495006243,704.7781581616729,0.7771055698394775,451.39678916978767,914.1733965355804,0.7921154499053955,261.07390176342074,913.3393804619226,0.9484850168228149,417.3591116573033,1257.5950959737827,0.5657484531402588,269.3199906367041,1252.0968906054932,0.09165197610855103,271.1924547440699,1300.620610955056,0.09706950187683105,274.9565484550561,1311.41093164794
5,0.821474213810528,0.9997515678405762,341.5528441011236,253.37744323501872,0.9999656677246094,375.9481800093632,225.35414715980025,0.9999391436576843,309.99049040262173,225.98058579119848,0.9984941482543945,432.69789715980016,270.19872620162295,0.9983627796173096,253.36542212858922,275.32669124531833,0.9756648540496826,526.3484121410736,471.952003355181,0.97464519739151,212.03100616416975,470.1993114076154,0.9946908950805664,560.8206538701622,694.0274851747815,0.9940590858459473,159.88700647627962,655.8279201779026,0.8510519862174988,551.8971402933832,809.7882041978776,0.9922181963920593,101.93744635611733,687.2210030430712,0.7914304733276367,452.03471246878894,913.941850031211,0.7540484666824341,261.8896789169787,919.6470232521847,0.9472759962081909,416.3843535424469,1258.050288701623,0.5657515525817871,286.415515761548,1256.2007451622972,0.048419296741485596,269.54153987203495,1313.4095076466915,0.07929232716560364,270.32912960362046,1308.5324984394506
6,0.8232033130000619,0.9997447729110718,340.40574282147315,253.47388030586765,0.9999687075614929,375.0976318664169,225.37389786204741,0.9999114274978638,309.108487437578,225.51910209893882,0.9987037181854248,431.5535756086142,270.48608672752806,0.9979599118232727,252.50926576154802,275.6101747815231,0.9785507321357727,524.6503394194756,472.2345115480649,0.9763641953468323,204.62356624531833,471.95297869850185,0.9961258172988892,563.5752184769038,693.2481370942571,0.9896827340126038,145.65864934456926,665.2271574594257,0.7774129509925842,563.4471558988763,803.9713541666666,0.9921884536743164,95.00785151373282,671.4267322097378,0.8040758967399597,451.7667368913857,913.1211961610486,0.7900756597518921,262.4861501248439,920.414813514357,0.9428173303604126,416.0540047596753,1258.4315504057427,0.6102873682975769,269.15783980961294,1269.9563046192259,0.05495211482048035,268.91224836142317,1312.9841604244693,0.08563452959060669,269.21348314606735,1307.8246917915105
7,0.8273145503857556,0.9997473955154419,340.7903206928838,253.9175152153558,0.9999668598175049,375.70517322097373,225.95951837546815,0.9999156594276428,309.06654767478153,225.94069424937578,0.9986249208450317,430.2061875780274,271.76844374219723,0.9979895353317261,252.3719861891385,275.99443566635455,0.9765212535858154,524.9764942259675,471.88733809300874,0.9789798259735107,208.1161731429463,473.0178585362047,0.9979051351547241,564.275124843945,692.5929014513108,0.9815249443054199,138.40575257490633,673.2122932272159,0.8632158041000366,561.8191128277153,799.3446668227216,0.9932383298873901,96.60578085986265,658.2446258583021,0.8081891536712646,451.1382256554307,912.0557311173533,0.808455228805542,260.5004974250936,919.7494343008739,0.9483050107955933,415.85703417602997,1256.9699984394506,0.5724698901176453,269.3620767009987,1269.8694015293383,0.06538015604019165,270.7002965043695,1312.7018960674156,0.07391825318336487,269.2824399188514,1308.9199048064918
8,0.8235234583125395,0.9997854232788086,341.9827754369537,254.47053487827714,0.999957799911499,376.58824906367033,226.50802707553058,0.9999083876609802,310.3216682272159,226.19247912765292,0.9985915422439575,430.0380871566791,271.79831363139823,0.9980311393737793,252.8754584113608,276.4593330602372,0.9766809344291687,524.6188358302122,472.3125390137328,0.9801284074783325,205.38111540262167,473.73059066791507,0.9982428550720215,561.384499843945,674.4800444756554,0.9730836153030396,135.02096988139823,673.4244303995006,0.8105301856994629,577.9579236891385,774.1839790106117,0.9941223859786987,103.04233965355803,654.7398271691635,0.8134734630584717,452.31327052122344,911.4225382334581,0.8079929351806641,261.3321239076155,917.9719686329587,0.9404784440994263,415.6104673845193,1260.0203846754057,0.6042686104774475,283.4189197097378,1256.8115051498125,0.04700952768325806,268.5824847846442,1321.923377028714,0.05761313438415527,268.10939450686635,1310.8646418539324
9,0.8290446032496059,0.999864399433136,343.0789150280898,255.5932038077403,0.9999133348464966,379.41893921660426,226.98228776529336,0.9999215602874756,310.88351474719093,226.41122425093633,0.9984936714172363,431.3945946473158,277.70540730337075,0.9982723593711853,254.16930009363296,276.08504506086143,0.9745066165924072,525.1008992665418,470.62875507178524,0.9748144149780273,205.20755305867664,474.8480415106117,0.9955790042877197,567.3710596129837,674.4031386548064,0.9802483320236206,138.47778167915106,674.0436758739075,0.852866530418396,586.0891658863919,728.5562480493134,0.995032548904419,88.50555458021222,656.5078320068664,0.8146960735321045,452.49575725655427,924.9599133895131,0.7996882200241089,257.84356468476904,916.6791510611735,0.9459137320518494,415.11582201935073,1259.7399734706617,0.6542063355445862,269.6061563670412,1266.223763264669,0.05076959729194641,269.85165028089887,1318.6838717228463,0.058971524238586426,267.75261392009986,1310.7334581772784
