Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.9011276434449589,0.9997414350509644,597.8075988998128,243.4327269136236,0.9999692440032959,656.4461903089889,206.87909644194758,0.9997048377990723,556.4403382490638,208.1459394019195,0.9995610117912292,732.7665613295881,270.5099704470974,0.9984476566314697,477.89808637640454,279.64542003160113,0.9922027587890625,830.2576369382023,597.8254476825842,0.971656322479248,366.79958157771534,609.4201705875469,0.9721790552139282,869.2109960205994,1013.0840355805244,0.9905028343200684,309.3195517322098,1004.816099016854,0.9932106733322144,939.6538506554307,864.9738120318352,0.9964727163314819,223.7358819054307,837.5568381320224,0.6179091334342957,698.9935919943821,1369.178370786517,0.8535593152046204,423.5281337780899,1299.7823033707866,0.8003324270248413,668.3680799391386,1853.5447389981275,0.7520759701728821,444.2526919475656,1854.4279611423221,0.5700153708457947,834.0910287921349,1631.5943937265918,0.8116291761398315,868.018199906367,1629.8659878277153
1,0.8665135906023138,0.9997209906578064,600.9881934691011,244.30698809105806,0.9999617338180542,658.2849806882023,206.56595637289325,0.9995094537734985,558.2247044709738,208.9000870493914,0.9996492266654968,735.5613588483147,272.88632739349254,0.9979625940322876,477.8429307116105,276.06330100070227,0.9849239587783813,835.1375234082398,604.477264747191,0.9576234817504883,370.26019721441946,610.6990285580524,0.9774785041809082,861.1335440074906,1011.1725333567416,0.992877721786499,279.57360428370794,1006.5115870786517,0.9955705404281616,945.7587195692884,869.6795997191011,0.9963188171386719,231.9556852762172,839.6126667837079,0.6446938514709473,694.6797460205994,1396.1094042602997,0.8298206329345703,422.3904201779027,1301.1508075842696,0.8034243583679199,663.6187675561798,1891.2596558988764,0.7823922634124756,454.31845447097385,1879.3038974719102,0.3721243441104889,825.5549215823971,1610.1553721910113,0.3966785669326782,852.6015332397005,1614.8267790262173
2,0.8870763322886299,0.9997895956039429,602.4381144662922,245.2265478698502,0.9999685883522034,659.5997922518727,206.6590772764513,0.9992762804031372,561.8153821395132,208.89127238412922,0.9995670318603516,740.2749736657304,271.6054943527622,0.9981942772865295,484.19102586610495,279.4939614056648,0.9876149892807007,831.7409878277153,606.0945912336142,0.9543429613113403,373.59265273876406,612.2210396184457,0.9749718904495239,861.092433286517,1011.8330846207865,0.9924783110618591,279.92684925093636,1008.0153470271536,0.9949401617050171,947.3039559925094,868.5967491807116,0.9942875504493713,233.1977118445693,836.4995172050562,0.6806554198265076,699.0238032537454,1347.8100128745318,0.8693042993545532,422.99230454119856,1296.1980629681648,0.8568872213363647,666.7897062265918,1885.137816011236,0.7599570751190186,453.5463483146068,1878.8401217228466,0.4076117277145386,826.2485369850187,1617.4786399812735,0.610450267791748,857.3613061797753,1616.6058052434457
3,0.880822488490273,0.9998172521591187,604.2981917134832,246.15174025632024,0.9999667406082153,661.8265010533707,206.85678546348316,0.9993605613708496,548.8253452715356,206.74301776100188,0.9995298981666565,742.8885036282772,271.9091248244382,0.9985356330871582,485.74226065074913,279.43867772705994,0.9872123003005981,832.4976591760301,603.5378262523409,0.9617018699645996,372.6597612359551,611.7092769779963,0.9811222553253174,860.4147647471912,1019.0357268258427,0.9944415092468262,281.7308198735956,1008.7222027153558,0.9940540790557861,950.044768258427,865.3204002808989,0.9960706233978271,240.55828651685397,838.5604664091761,0.6545103192329407,696.5186827013108,1348.599309456929,0.8745182752609253,415.47686973314615,1286.7387933052435,0.8263530135154724,665.6435071395131,1888.2277036516855,0.6996544599533081,454.13250526685397,1873.257110252809,0.4010108411312103,823.5909702715355,1617.2095915262173,0.6061226725578308,854.9727879213483,1615.6879096441949
4,0.8795565594645107,0.9998346567153931,606.0442269428838,247.828867480103,0.9999679923057556,663.6306179775281,207.71665423103934,0.9994325041770935,549.6188845973783,207.04235062617042,0.9994529485702515,743.5749502574906,273.06640625,0.9988841414451599,486.0223548689139,278.9332974894663,0.9766505360603333,833.1548455056179,598.3579485603933,0.9693257808685303,345.1487886235956,614.2936563670412,0.9829391837120056,862.6727820692884,1010.7195839185393,0.99425208568573,282.73291198501875,1008.5895804073034,0.9921944737434387,948.5295236423221,863.1266093164794,0.9969007968902588,247.87094744850185,837.8069405430712,0.6671518087387085,693.0105190777153,1394.7567006086142,0.8517343997955322,420.95308110955057,1290.1299157303372,0.7468649744987488,666.6798338014983,1898.0669183052435,0.6919546127319336,458.3560832162922,1875.7113178838952,0.40416350960731506,831.1206694756554,1619.676966292135,0.6807571053504944,861.0349367977528,1621.2805770131088
5,0.877048885121065,0.9998228549957275,607.2422899110488,248.85573940777155,0.9999693632125854,665.2103084035582,208.19297533356743,0.9994733333587646,550.804219335206,206.76218325725657,0.999398946762085,747.8691918305244,275.80096412687266,0.9988069534301758,486.1952832397004,280.56891166315546,0.987481951713562,816.5328007958801,604.0402987476592,0.9686679840087891,345.2448355571162,612.9036458333334,0.9796643257141113,865.4190074906367,1012.678048923221,0.9953230023384094,282.81264630149815,1009.0288506554308,0.9938434362411499,949.0695224719102,864.1386499297753,0.9956939220428467,250.4795763108615,836.7422313904494,0.6585763692855835,701.5542339653559,1346.7755149812735,0.8929218649864197,416.0587839419476,1279.5883075842696,0.7131757140159607,666.5368972378278,1894.9372366573034,0.6859173774719238,454.2959240402622,1863.4796348314608,0.3814150094985962,831.4583333333335,1620.3539033239701,0.6596786379814148,860.9492041198503,1626.7216760299625
6,0.8808345286285176,0.99980628490448,607.7498829588014,249.2050708099251,0.9999712109565735,666.5649871254682,208.96016210205994,0.9995094537734985,552.061095505618,206.6713300269195,0.9994013905525208,747.7939197097378,276.0086025280899,0.9987740516662598,488.5216965121723,282.3449386996723,0.990810751914978,826.9835557116105,598.3917807818352,0.9670182466506958,345.10263050093636,613.0967638108615,0.987866997718811,868.1453359082398,1011.2705553604869,0.9975473880767822,286.0844598548689,1007.8716789559926,0.989324688911438,947.7213541666667,860.9314284878277,0.9956139922142029,256.15695224719104,838.1947126638577,0.6329213380813599,704.0409205290262,1344.6936446629213,0.8380545377731323,419.9238500702247,1290.8388927902622,0.7496768832206726,668.4885592228466,1871.0855571161048,0.67821204662323,456.23098080524346,1862.7980161516855,0.40650346875190735,829.3764630149813,1620.9026802434457,0.7431742548942566,862.9222261235955,1626.9215238764045
7,0.8720453662030837,0.9997972249984741,608.2034176029963,249.08159234550564,0.999972939491272,667.5130939840824,209.39886543188203,0.9995204210281372,553.9438494850187,206.69062353698502,0.9993808269500732,748.3643492509364,274.8164647705993,0.998805046081543,488.9243913857679,283.1279626053371,0.9914414882659912,834.8876404494383,595.0334298923221,0.9685621857643127,347.33526451310865,614.5827481273409,0.9883600473403931,869.7319756554307,1013.9870815777153,0.9976229071617126,287.04295411985026,1008.0487769194757,0.9912769794464111,949.8980278558054,854.7986159878277,0.9944800734519958,257.5870493913858,837.2321219569288,0.6206751465797424,699.6340268024344,1344.0090999531835,0.8475761413574219,412.76465941011236,1288.8916198501872,0.7407064437866211,670.7100011704119,1872.951340121723,0.6806589365005493,458.02236949906376,1872.1292720037454,0.3581528067588806,831.0590765449438,1621.502662687266,0.6477816104888916,862.4863939606741,1629.641707631086
8,0.8848328029408175,0.9998040795326233,609.1754447565543,249.7904048162453,0.9999706745147705,669.3403265449438,210.11627311563672,0.9995231628417969,555.772033005618,207.2599375292603,0.9992733597755432,749.1270921114233,276.29160448852997,0.9991623163223267,489.23615987827714,282.33669095271534,0.9878906011581421,841.5181706460673,593.4956548455057,0.9688287377357483,348.2233877574906,614.127969920412,0.9914541244506836,872.800942181648,1017.2911546114233,0.997456431388855,285.4332718867041,1009.4786546114233,0.9952642917633057,953.5596617509364,852.799844920412,0.9926139116287231,257.9739437031835,833.944142088015,0.5847340822219849,706.6341877340824,1333.307730571161,0.8724627494812012,425.1488617743446,1276.4849602059926,0.7133700251579285,671.6069756554307,1875.6289501404494,0.7255164384841919,457.0818703183521,1857.8108906835207,0.358717679977417,834.6016210205994,1629.308432818352,0.8561149835586548,865.6552844101125,1628.7358087546818
9,0.8815743011586806,0.9998129606246948,609.6850128745318,249.9647962020131,0.9999695420265198,669.7092257724719,210.3023686212547,0.9995246529579163,556.201720505618,207.3584533005618,0.9992695450782776,749.7752808988764,276.2645387113764,0.9992044568061829,489.75223841292143,282.0109872425094,0.9900913238525391,839.4585381554307,594.3079939138577,0.9698821306228638,347.43328651685397,614.017731741573,0.9916667938232422,873.3349426498128,1017.0331519194757,0.997489869594574,287.6117011938203,1009.6186651451311,0.9952517747879028,953.4587137172284,854.8244382022472,0.9937187433242798,259.14625760767797,836.4892029494382,0.6126408576965332,709.1227030664795,1340.8631788389514,0.9003673791885376,428.67458157771534,1277.3841292134832,0.6796040534973145,674.3457397003747,1874.5913799157304,0.7310295104980469,457.1308081694757,1874.4813611891386,0.3042415976524353,835.1669300093633,1627.628599016854,0.8229979276657104,865.0570575842696,1627.7424215823971
