Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.8707362623775706,0.9997875690460205,492.69004564606746,368.04288828417606,0.9999756217002869,521.2405635533709,336.54567532771534,0.9998773336410522,446.12403441011236,343.1403616573034,0.9996709823608398,594.4152329119851,395.7816157537453,0.9989696741104126,382.8016736891386,413.89099806882024,0.9934208989143372,705.6702803136704,664.2289179541199,0.9833062887191772,305.56399227528095,668.9173689138577,0.9945000410079956,780.7528675093633,998.1947858146068,0.997514545917511,289.76577130149815,990.1239173689139,0.99700927734375,796.6068293539327,903.4028996956929,0.9817161560058594,569.1857590121723,814.810466409176,0.8808044195175171,694.2665174391386,1275.212576076779,0.8922370076179504,427.5374531835206,1248.0634070692884,0.9102157950401306,729.5390039794008,1768.9121020599252,0.9326024055480957,483.5159176029963,1824.4976006554307,0.1928260326385498,771.8548835440076,1982.3068820224719,0.04808241128921509,761.4161985018727,1839.5605102996255
1,0.86806580249001,0.9997437000274658,494.12760416666674,369.51954588014985,0.9999785423278809,521.963512406367,338.01234784644197,0.9998959302902222,447.90130500936334,345.19560510299624,0.9996919631958008,595.9947038857679,397.0696175678839,0.9990602731704712,383.0811095505618,415.57920763108615,0.9944350719451904,708.4500819288389,668.5727557350187,0.9851233959197998,305.81628920880155,669.646023525281,0.9954733848571777,749.092418656367,996.353288857678,0.9979038238525391,291.69131846910113,990.9314284878277,0.9963752627372742,794.7841321395131,909.5401012406368,0.9750974178314209,564.2616163389514,819.0243884597379,0.8472150564193726,692.0741894897003,1268.8535814606741,0.9034668207168579,425.11952832397003,1244.10624414794,0.905024528503418,728.8492655664795,1768.8608965355807,0.9113243818283081,481.10472261235964,1813.013518258427,0.20561334490776062,771.6065367509364,1979.4433227996255,0.041695743799209595,760.3232531601125,1839.950550093633
2,0.8677322794409359,0.9998018741607666,495.7015156835206,371.3753438085206,0.9999803900718689,523.2531601123596,340.0650310159176,0.9999013543128967,447.9966935861423,347.1602147705993,0.9996449947357178,595.9968252574906,398.3376492275281,0.9993627071380615,385.19545880149815,417.15586230102997,0.9945818185806274,706.8286955758426,670.765156835206,0.9838714599609375,307.82764220505624,669.6996430243446,0.9955071210861206,751.6815162687267,997.8226679541199,0.9978154897689819,291.7788799157304,991.9123800327716,0.9949899315834045,792.4069522471912,908.9517497659176,0.9722484350204468,558.8478025514981,814.0588424625469,0.8971017003059387,691.6696658473784,1272.6945809925094,0.8873491287231445,428.21190308988764,1242.4959035580525,0.8901464939117432,731.1064782303372,1771.8166257022472,0.9224256873130798,481.7271623361423,1816.6009772940076,0.1744978427886963,771.7597875702247,1981.312031835206,0.04222232103347778,761.8234287219102,1837.833128511236
3,0.8750725090503693,0.9998456239700317,499.4498332162922,370.79964741338955,0.9999866485595703,527.6185042134832,340.5480819873596,0.999916136264801,451.96351240636704,345.9631393375468,0.9996378421783447,598.3779552902622,399.54811124765916,0.9995135068893433,386.92320634363296,416.5536487593633,0.9948381185531616,707.8594627808989,670.3974280196629,0.9855366945266724,306.6360896535581,668.7507315074906,0.9958117008209229,752.4945136938202,998.4656630383895,0.9977793097496033,292.44798981741576,992.5407449672285,0.9952676296234131,792.7861657303372,908.3591555477528,0.9729396104812622,575.7511850421349,819.1228493679776,0.8722102642059326,691.0009948501872,1264.2180184925094,0.8911731243133545,428.250234082397,1245.1774637172284,0.9022473096847534,734.6523144897003,1771.4941772003747,0.9119435548782349,482.5870493913858,1819.3524695692884,0.28948578238487244,761.4047138342696,1962.4464536516855,0.06809979677200317,759.3287687265918,1835.5947155898878
4,0.8745039000230677,0.9998589754104614,503.0231010065544,371.4399724953184,0.9999902248382568,530.3120610955057,341.5377750468165,0.9999374151229858,455.912116690075,346.50690543071164,0.9996076226234436,599.8698648174158,398.55794270833337,0.9996495246887207,389.215238764045,416.27293275983146,0.9947259426116943,712.4244352762173,673.3828563904494,0.9869767427444458,305.9894370318352,670.6200257490636,0.9960734844207764,754.1767614700375,1000.1001433754682,0.9975438117980957,291.79314431179773,992.7707309222847,0.9958180785179138,791.2277621722847,911.7965823970038,0.9777141809463501,576.4959328183521,820.9568117977528,0.9077659845352173,698.6424683988764,1275.715560627341,0.904982328414917,428.398364349251,1239.3546640917602,0.9180821180343628,732.8370786516855,1768.9928604868915,0.8764036297798157,487.02122834737827,1821.5869323501872,0.2459307312965393,767.5286019428838,1978.6903089887642,0.0655055046081543,760.9036312031835,1828.7162043539327
5,0.870051804710837,0.9998154044151306,504.4281805945693,372.8424552317416,0.999988317489624,533.8791110720974,344.1799069522472,0.9999165534973145,457.60423981741576,347.78590970271534,0.9995710849761963,602.2236364700375,402.2758295294944,0.9996891617774963,389.4605132256554,416.96223226825845,0.9920068979263306,716.41407713015,671.8740490402622,0.9886578321456909,305.083830758427,671.3341233614233,0.9955273866653442,751.1064782303372,998.3355278558053,0.9973663091659546,290.86083801498125,994.266956343633,0.9955456256866455,792.5671523876406,911.3268814372659,0.9785938262939453,576.196014747191,822.4670090121723,0.8710720539093018,700.1561768492509,1280.2807525749065,0.897990345954895,430.91138518258435,1247.0041842228466,0.9142429232597351,733.6360311329588,1765.885709269663,0.9242891073226929,482.1343925561798,1815.9939723782772,0.17563816905021667,768.8924976591761,1974.9891736891386,0.06096968054771423,763.4848285346443,1832.5668597846443
6,0.8744620540562797,0.9998021125793457,505.7636938202247,373.44488822565546,0.9999868869781494,534.8694990636704,345.1135299625468,0.9999147653579712,459.3986276919476,348.36862856975654,0.9995744228363037,602.2418510065544,402.9472436797753,0.9997179508209229,391.0720242275281,416.5103435159176,0.9943838119506836,715.9952890917602,673.4050210674158,0.9884700179100037,304.2526187968165,671.3742099719101,0.9948561787605286,748.605307818352,998.1311446629214,0.9974045753479004,289.7140537219101,994.310627340824,0.9957270622253418,791.9098929073034,909.5880881320224,0.9778429269790649,564.8174888810862,817.9099367977528,0.8566386103630066,697.779289559925,1275.5138108614233,0.9035020470619202,425.20350538389516,1247.6348899812735,0.9129955768585205,732.4237037687267,1768.2969042602997,0.9219411611557007,484.89546757958806,1817.5522296348315,0.2522233724594116,761.4047138342696,1965.051498127341,0.0708734393119812,760.8209708567417,1833.1036399812735
7,0.8802172471495235,0.9997682571411133,508.2309954353933,374.27924566947564,0.9999849200248718,537.784775866105,344.97867655664794,0.9998947978019714,460.86844569288394,348.41065367509367,0.999525249004364,603.8625058520599,405.03353961844573,0.9997579455375671,392.4443322799626,416.89098343867045,0.9937776327133179,717.8757022471912,674.7211493445693,0.9898456335067749,305.3788477294007,672.4685451779027,0.9945377707481384,749.0226328417602,999.9111949906368,0.9976233243942261,291.58693235018734,994.4187441479401,0.9960870146751404,793.1106624531835,908.6609023876405,0.9807454347610474,565.9652241338952,819.6262728230338,0.8836046457290649,696.7984843164795,1269.3027270599252,0.8837518692016602,430.54987418071164,1247.983819054307,0.9074512720108032,735.8884158473784,1769.6181530898878,0.9207510948181152,486.22359257958806,1820.758134363296,0.34913134574890137,759.5690689372659,1956.4204412453184,0.067454993724823,760.7085381554307,1837.6078242041199
8,0.874094216262593,0.9997709393501282,509.73797401685397,374.3737930126405,0.9999852180480957,540.9022413389514,345.4719320575843,0.9999009966850281,462.8358350889513,349.15123185861427,0.9994618892669678,582.1923279494382,404.041249707397,0.9997251033782959,393.9732560861423,416.870940133427,0.9939331412315369,717.056487008427,675.7130735018727,0.9891612529754639,305.767424508427,673.1845447097379,0.9944146871566772,748.9240987827716,1000.610077247191,0.9972432255744934,290.31418246722853,995.6311446629214,0.9944921135902405,790.6544797518727,911.0492743445693,0.9857063293457031,576.1534410112359,826.1805799391386,0.8793879747390747,693.7400514981273,1278.0281484082398,0.8919916749000549,426.20142790262173,1246.1968925561798,0.8866958022117615,732.8046728698503,1761.79453417603,0.9114110469818115,485.34271125936334,1820.6309983614233,0.2616695761680603,766.4225626170412,1965.623829588015,0.07465070486068726,760.7925883661048,1832.137025983146
9,0.8753180240883547,0.9997463226318359,510.2750468164794,374.2337824789326,0.9999847412109375,541.3390976123596,345.2315952715356,0.9998994469642639,462.95828944288394,348.89172957631087,0.9994782209396362,583.0682350187267,403.43490314840824,0.9996751546859741,393.20166198501875,416.12443673923224,0.9928821325302124,719.6939372659176,675.4174713249064,0.9884775876998901,305.94942357209743,673.5521272237828,0.9946677088737488,754.2687119616105,998.102030664794,0.9971945881843567,290.37131320224717,995.8284322331461,0.9952113628387451,786.4477996254682,912.5580816947565,0.9894378781318665,572.8740197799626,827.3581606975656,0.8737192153930664,691.9536370552435,1270.539998829588,0.875208854675293,428.10846793071164,1249.1527680243446,0.9027532339096069,734.6951808286517,1765.176878511236,0.9163599014282227,484.77981624531833,1824.2578125,0.2691001296043396,768.3354547050562,1977.400076076779,0.08660992980003357,760.4725538389514,1827.5234082397005
