Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.8441855276332182,0.9998475313186646,369.97386079900116,429.30984706616726,0.9999926090240479,397.7589048845193,410.09646145443196,0.9999259114265442,346.7294300093632,406.7850733458177,0.9997755289077759,425.8573755461922,432.94699984394504,0.9994747638702393,301.0399110486891,426.15807389200995,0.984844446182251,489.21548259987514,582.8889181491885,0.9853785037994385,234.0008583021223,586.7415242665418,0.9729790091514587,511.57220466604235,784.9085615636703,0.9596393704414368,193.52927980649184,784.6140566479401,0.9808797836303711,524.4918461298377,993.3575218476904,0.9894292950630188,197.55281484082394,995.816850031211,0.7659904956817627,442.93022393882643,969.1319444444443,0.7867600917816162,270.9947526529338,959.0925405742821,0.938156008720398,404.05923259987514,1241.6056101747815,0.9569838643074036,302.45245201310854,1238.268570536829,0.02119988203048706,408.0683813202247,1329.8577949438202,0.00989687442779541,303.654708957553,1324.6516073657926
1,0.8429510312921861,0.999840259552002,366.83125585205994,429.987418071161,0.9999923706054688,395.68722690387017,409.96986189138573,0.9999550580978394,342.7855805243445,407.0101094335206,0.9997081756591797,424.4078690699125,432.0745552434457,0.9995383024215698,298.90781054931335,426.6925132646691,0.9840989112854004,482.86146223470655,582.4660580524344,0.9783782958984375,230.76574204119845,586.6368211610486,0.9729529619216919,509.91207279962543,789.872620162297,0.9741418957710266,191.40956616729085,786.1077949438202,0.9817108511924744,522.1294670724094,994.0637679463171,0.991887629032135,196.07673025905115,997.5551068976279,0.7396111488342285,436.8128218632959,967.3135143570536,0.7942699193954468,274.85394233770285,959.5883075842696,0.9380775094032288,404.0505520443196,1249.2067532771534,0.9381043910980225,300.84035580524346,1241.516756398252,0.020875602960586548,294.91870513420724,1320.6120279338327,0.017024248838424683,300.76613217852685,1323.8760143570537
2,0.8440758533337537,0.9998414516448975,364.9296289794007,430.6844471754057,0.9999918341636658,394.39192220661664,410.32839809612983,0.9999594688415527,342.07158044631706,407.3289491651061,0.9997122883796692,423.5005559456929,432.4193878745318,0.9994779825210571,298.57502340823964,427.98698892009986,0.9883732795715332,484.52998205368283,582.4725928526841,0.9744450449943542,229.4627321317103,587.0775300405743,0.9700475931167603,506.9951135299625,790.6241221910112,0.9726386070251465,185.9506183676654,788.9831070536828,0.9818735718727112,519.6495103776529,991.5318742197253,0.9862210750579834,195.90336298377025,997.981526997503,0.7774209976196289,448.3073404338327,967.1225421348314,0.8065248727798462,274.9720076466916,955.4638732833957,0.928955078125,402.82079041822715,1255.9147745006242,0.928230881690979,300.53775553995,1243.376638576779,0.01987677812576294,293.4584698813982,1320.204627028714,0.01569870114326477,299.1899286048689,1323.8557272159799
3,0.8420141146463507,0.9998467564582825,365.44178175717843,430.49069522471905,0.9999918937683105,394.9044163545568,410.2831421660424,0.9999597072601318,342.327705602372,407.36581714263417,0.9997295141220093,424.0835674157303,432.39675990948814,0.9995089769363403,298.9308286516854,427.636791900749,0.9853438138961792,484.82312148876395,582.8324457709114,0.9813827276229858,232.21949126092386,587.0553409800249,0.9749207496643066,507.53116221910113,790.2808013420723,0.967577338218689,186.99433325530583,786.46145443196,0.9766370058059692,521.1656328027465,992.2112008426966,0.9924126863479614,193.96930594569284,996.6581811797752,0.7737522721290588,435.43909956304617,972.0609004369537,0.7977234721183777,272.6652231585517,955.6493835830212,0.9244646430015564,399.69179151061167,1246.3667485955054,0.8965641260147095,299.2791237515605,1252.1608731273407,0.025063157081604004,291.3992275280899,1319.1774929775281,0.019361108541488647,298.3438182740324,1324.0725460362046
4,0.844407304244883,0.9998506307601929,365.79295411985015,430.8037804307116,0.9999911189079285,395.188485096754,410.7802258895131,0.9999598264694214,342.49170958177274,407.7021155196629,0.9997644424438477,424.2353308364544,433.0601396691635,0.9995080828666687,299.28897471910113,427.7400807584269,0.9868619441986084,485.5407791042446,583.1369967228464,0.9817444682121277,232.867753199126,586.7866338951311,0.975384533405304,506.7739056647939,791.1008700062422,0.9663548469543457,187.5440367509363,785.282703261548,0.9780468940734863,520.6438241260923,992.286302278402,0.9880453944206238,194.24820536828963,998.2994889200999,0.7658113241195679,438.52020911360796,960.4651412297128,0.8348172903060913,271.58132412609234,958.9342423533083,0.9321261644363403,401.0428370786517,1246.7231390449438,0.9094835519790649,298.9689158083645,1243.850070224719,0.02042052149772644,293.51006554307116,1319.038311485643,0.01675313711166382,299.49877106741565,1323.391756398252
5,0.8440762407639447,0.99985671043396,364.9613276373283,432.0719705836454,0.9999898672103882,395.1128959893882,411.6515976123595,0.9999606013298035,342.0440269975031,408.08374297752806,0.9997557401657104,424.298094179151,433.2321902309613,0.9994860887527466,298.5793636860175,428.6058442571785,0.9871367812156677,484.5307623283395,584.1629603620474,0.9786101579666138,231.3657244850187,588.3118757802746,0.96822190284729,504.3569073813982,790.3974524032459,0.9640970230102539,185.51122620162295,789.6119108926341,0.9819271564483643,520.0086317883895,994.630052278402,0.9886144399642944,191.02294007490633,997.6607365792759,0.82490473985672,437.70140839575527,964.912706772784,0.7964581251144409,274.31267556179773,956.3196395131085,0.9260120987892151,398.83046582397003,1247.0791393570537,0.8933401107788086,299.5658746878901,1249.0747893258426,0.020712226629257202,291.4385826310861,1319.5251053370787,0.020212322473526,297.6973119538077,1324.139552122347
6,0.8435996209873873,0.9998636245727539,364.3077988451935,433.67036321785264,0.9999872446060181,395.0523271691635,412.82098548689135,0.9999674558639526,341.94161594881393,408.460493718789,0.9997321367263794,424.50106312421974,433.53176693196,0.9994666576385498,299.07308247503113,429.08161672908864,0.9876495599746704,485.3515625,584.8454568508115,0.9833583831787109,232.37135221597998,588.3075842696629,0.9701434373855591,505.4840141229712,789.3180399500624,0.9764264822006226,187.12171309300874,789.4163057896379,0.9814830422401428,520.5670158395754,997.2859121410736,0.9865050315856934,191.39083957553055,997.2333411360798,0.8197351694107056,439.88666510611733,967.4207045880149,0.776457667350769,270.8228483926342,955.8857092696628,0.9122692346572876,399.13745513420724,1247.108302122347,0.8996678590774536,300.4414403870162,1250.959445224719,0.02561795711517334,291.36352996254675,1319.030411204744,0.022862613201141357,297.2329022315855,1323.6497347066168
7,0.8463249820120194,0.999861478805542,365.2342774656679,434.69749726903865,0.9999823570251465,395.5870591448189,413.86245708489383,0.9999620318412781,343.01712702871407,408.9032752028714,0.9997799396514893,423.9863744538077,435.61934300873907,0.9994170665740967,299.5321765761548,428.74595232521847,0.9872317314147949,487.1576057272159,584.9445517322097,0.9858662486076355,233.67723938826464,589.159010221598,0.9720829725265503,507.3291198501872,791.4436056491885,0.9738791584968567,191.13686017478148,787.3579412453183,0.9727619886398315,521.0954080836455,990.8871722846442,0.987765908241272,194.67764903245939,998.4494967228463,0.8176113367080688,439.91402348626707,969.3306218789013,0.8290270566940308,273.0670646067415,959.4778011860175,0.9277068376541138,400.57818352059917,1247.6349875156054,0.9005171060562134,302.079578261548,1252.2639669163545,0.01824173331260681,292.4009051186017,1320.3710205992509,0.015829741954803467,297.7599777621723,1324.879545099875
8,0.8374927271814907,0.9998649954795837,365.94798494069914,435.7305809144819,0.9999743700027466,395.55906679151053,415.2181355337078,0.9999557137489319,344.48692064606735,409.75006827403246,0.9997745156288147,424.1472573345817,438.5012386860175,0.9994176626205444,300.45826505930086,430.02633426966287,0.9868020415306091,488.7821375624219,585.4145209113608,0.984821081161499,234.44956499687885,590.8562539013733,0.9682558178901672,508.05297089575527,793.9680867665418,0.9695689678192139,192.9585576622971,786.4449711298377,0.9715181589126587,523.129584113608,990.9815855181023,0.9895524978637695,197.58407459425717,1001.2635572721597,0.7089095711708069,440.97431921036195,959.8995396379526,0.7832344770431519,275.2706577715355,957.7443235018726,0.9414891004562378,405.9884129213483,1257.552766073658,0.9089899063110352,303.2397979088639,1253.7796504369537,0.013139843940734863,407.62016229712856,1324.9544514669162,0.012107640504837036,299.4793129681648,1325.272315855181
9,0.8436847907655379,0.9998898506164551,367.20564138576776,437.94129408551805,0.9999727606773376,393.5196239076155,416.1748010299625,0.9999076128005981,346.5244616104868,411.2389298533083,0.99974524974823,424.83175327715355,440.0373556491885,0.9993194341659546,304.1098041510611,428.3632763732834,0.988865315914154,489.2464497503121,586.5240227059925,0.9835906028747559,234.48121488764036,591.3851338171036,0.9600187540054321,507.3159527153557,796.4529201779026,0.9731919169425964,195.0120942571785,789.2908278714107,0.979127049446106,523.5833138264669,992.8025514981273,0.989267110824585,196.12291276529334,1000.5663818664169,0.7687430381774902,439.97854244694133,961.7563982521847,0.8099865317344666,273.6326174313358,960.5575062421972,0.941953182220459,406.8583216292135,1258.3059261860174,0.9060696363449097,304.0222183208489,1254.0406523096128,0.019914597272872925,291.3429014513108,1320.4084737827714,0.0230787992477417,295.8247503121098,1323.9751092384518
