Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.9675774363910451,0.9999260902404785,575.9809515449439,392.4901977996255,0.9999791383743286,613.2867363061798,362.1385255735019,0.9998614192008972,543.156015917603,355.947265625,0.9995660185813904,673.3779552902622,408.2038930828652,0.9944869875907898,492.06219276685397,389.157266795412,0.9811011552810669,717.4286048689139,627.7428604868915,0.9717351198196411,407.5280898876405,626.9699496722847,0.9779260158538818,814.5891853932585,870.546875,0.9891835451126099,311.33470856741576,873.6422489466293,0.9960231184959412,577.1376843398876,779.8768141385768,0.976465106010437,418.1615753745318,797.2855220037453,0.9096589088439941,645.864934456929,1165.9748800327716,0.9116182327270508,443.6611949906368,1130.414618445693,0.976112425327301,599.5641678370787,1535.4637757490636,0.957248330116272,436.53931121254686,1535.1720505617977,0.8704033493995667,571.4731097846442,1914.2924859550562,0.9375214576721191,431.0688055945693,1899.7084211142324
1,0.9616313681882971,0.9999405741691589,576.8878013810862,392.1618606624532,0.999977707862854,612.0065250468165,361.8352059925094,0.9998703002929688,544.7190279728464,356.5779348080524,0.9995615482330322,673.6486862125469,407.1275895365169,0.9959245920181274,491.31488471441946,391.9168422284644,0.9897779226303101,727.5972173455057,630.0462312734082,0.9823492765426636,410.5113968867041,623.8171523876405,0.9841001629829407,813.8976182116105,869.0260709269663,0.9904168844223022,309.3365958567416,873.8371956928839,0.9951725602149963,572.7867509363297,780.656015917603,0.9409763216972351,411.3566537921348,793.5875321863297,0.8999688625335693,637.719379096442,1173.325871956929,0.8506014943122864,449.3154552902622,1132.1661399812735,0.973143458366394,600.8038535814607,1545.9619323501872,0.938778281211853,434.9733731273409,1541.9422986891386,0.8603508472442627,571.9535639044944,1914.2399637172284,0.946822464466095,431.78100128745325,1898.594627808989
2,0.9629406858893002,0.999937891960144,576.1476621020599,392.48708889279027,0.9999794363975525,611.3391707631085,361.99141941713486,0.9998730421066284,544.7003013810862,356.64845213014985,0.9995637536048889,673.2566713483147,407.5040232911985,0.9951785802841187,491.7119469803371,391.9925532537453,0.989174485206604,729.2636645599252,630.7947097378277,0.9814424514770508,412.1676029962547,623.6852615870787,0.9813915491104126,812.3005910580525,869.6665788857679,0.9897565841674805,309.9532566713483,873.7644106975656,0.9951096773147583,572.1242977528091,780.5358292368915,0.9646443128585815,415.61651451310865,790.8710791198503,0.9002519249916077,637.9330524344571,1175.1016795411986,0.8690845370292664,433.81927375936334,1174.0307525749065,0.97496497631073,599.7489466292135,1547.0729459269664,0.9416385889053345,434.6163974719101,1541.5698150749065,0.846741795539856,571.6011967462547,1917.397881554307,0.9412580728530884,429.2004623127341,1898.8920587546818
3,0.9646578220760121,0.9999381899833679,576.5341175093633,392.50632753979403,0.9999781847000122,610.9865110018727,361.99163886938203,0.9998674392700195,544.6133251404494,356.71223958333337,0.9995840787887573,673.3418188202247,407.346566303839,0.9944995641708374,490.6849104634832,396.402190133427,0.9891055822372437,726.7115812265918,631.9123068820224,0.9813709259033203,410.5507519897004,625.1354020365169,0.9878440499305725,809.7183696161048,871.6749327013109,0.9901843070983887,310.60854108146066,873.4911926498128,0.9931159019470215,573.4492772705993,780.3484170177903,0.9612153768539429,412.28625351123594,791.8852411048689,0.8990837335586548,637.4327013108614,1176.1455407303372,0.89730304479599,442.3203417602997,1176.9579529494383,0.9739838242530823,600.3879184222847,1547.1605805243446,0.9483847618103027,434.83336259363296,1542.2717696629213,0.8380619883537292,571.1119645365169,1917.8777504681648,0.9456620216369629,427.6027768024345,1898.5093340355807
4,0.9651410439435173,0.9999352097511292,575.5716731039327,392.4539516034644,0.9999793767929077,610.5394867743446,362.1133982911985,0.9998653531074524,544.6204207631087,356.92408415262173,0.9995856881141663,673.3440133426966,407.18146506320227,0.9943138360977173,491.1184749531835,396.59022413389516,0.9911891222000122,726.7918275983147,630.5569698033709,0.9836316108703613,382.5788565074906,624.8591848080524,0.9887987971305847,809.0840063202247,870.6956636235956,0.9912819862365723,313.0718925561798,874.5967930711611,0.9947572350502014,600.2668539325844,782.8070868445693,0.9657454490661621,414.8530401451311,793.3629593867041,0.8906617164611816,635.1493006788389,1178.0598226825844,0.9111214280128479,439.8690601591761,1182.9425620318352,0.9789495468139648,600.8961698267791,1547.6828768726593,0.9435669183731079,436.2987183988764,1543.9719393726593,0.8276435136795044,571.4767673220974,1920.3701427902622,0.9463709592819214,425.9884129213483,1899.1719335205994
5,0.9644437747843125,0.9999369978904724,574.7665759597379,392.6624312382959,0.9999806880950928,610.3427112593633,362.311563670412,0.9998670220375061,542.2659907537453,357.697031542603,0.9996359348297119,674.0869323501872,405.30324643024346,0.9920878410339355,493.11746547284645,394.12698238529964,0.9918489456176758,730.9151890215355,629.7551644428839,0.9751942753791809,386.3560685861423,627.1871342462547,0.9845303297042847,807.7510533707866,871.6060246956929,0.9825950264930725,322.34557876872657,877.5846354166667,0.9952147006988525,601.0284263810862,780.914457514045,0.9793089628219604,413.9952744616105,796.5671816479401,0.8828468322753906,636.5257783239701,1179.2126784878278,0.9065507650375366,439.3727323267791,1187.101328417603,0.9756983518600464,600.8791988529963,1547.8947214419477,0.9445947408676147,435.29179833801504,1545.1625409644196,0.8323490619659424,571.9779231039327,1919.1937324438202,0.9533036947250366,424.0916871488764,1898.6825550093633
6,0.9660709780805251,0.9999398589134216,575.4073033707865,392.97061534410113,0.9999810457229614,610.4680184925094,362.56974923923224,0.9998636245727539,544.7215882490638,357.14371927668543,0.9996185302734375,673.9183198735955,405.7866265800562,0.9930015206336975,492.980234667603,394.76909966058054,0.9932417869567871,730.1615168539327,629.1191918305244,0.9764143228530884,414.3464712078652,624.9943673923221,0.9841238856315613,809.2064606741574,871.601489349251,0.988213837146759,296.02279377340824,886.9542222612359,0.9936345815658569,572.1952539794008,782.3466760299626,0.9711688160896301,421.81625994850185,790.2116982677903,0.8817890882492065,637.6864612593633,1179.0826164559926,0.9211264848709106,437.20556823501875,1188.7064021535582,0.9723697304725647,601.6045616807116,1547.9358321629213,0.9614459276199341,436.5633778089888,1544.589770599251,0.8347049951553345,571.5665964419476,1918.0500936329588,0.9525685906410217,424.54683110955057,1899.204851357678
7,0.9685491709148183,0.999940037727356,575.4051819990638,392.8478318117978,0.9999823570251465,610.9698326310861,362.2697580173221,0.9998687505722046,544.5961347144195,357.19547343164794,0.9996052980422974,675.3281542602997,406.8440572331461,0.9929578304290771,492.99552317415737,394.7996400983146,0.9919946193695068,731.5523320458801,627.2357794943821,0.9777624607086182,384.5111335440075,627.6885826310862,0.9868761301040649,811.4238061797753,871.9798981741574,0.9926525950431824,303.412189840824,888.838512406367,0.9940574169158936,573.362739934457,781.8619791666667,0.9764878153800964,425.7430653089888,785.8403558052435,0.8945164084434509,637.4416988529963,1180.257271184457,0.9309450387954712,439.7643082865169,1187.169139161985,0.9709980487823486,602.575711025281,1548.835001170412,0.9574248790740967,436.7257724719101,1542.5684691011236,0.8454067707061768,571.5370435393259,1916.6568644662923,0.9538594484329224,424.81887874531833,1898.7627282303372
8,0.9686580440577339,0.999940037727356,575.2160141619851,392.61298133192884,0.9999815821647644,611.1010650749065,362.032969042603,0.9998640418052673,544.4226942883895,357.1687368328652,0.9996169209480286,675.3703622425094,406.9054307116105,0.9925358295440674,493.34255032771534,395.4944624882959,0.9917811751365662,733.3477440308989,625.5301966292135,0.9787527322769165,386.880778909176,626.0453973548689,0.9869850873947144,810.8892205056179,871.394692181648,0.9914557337760925,309.60118211610484,890.3291052200375,0.9932650327682495,572.5599104634832,781.3662365402622,0.9804258346557617,428.57026860955057,786.3320019897004,0.8891134262084961,637.8258134363296,1182.9325403792136,0.9361391663551331,441.4510914091761,1194.1159000468165,0.9684137105941772,602.687119616105,1548.6117450842696,0.9547340869903564,437.1256876170412,1544.3284761235955,0.8514847159385681,572.9716028792135,1916.530313670412,0.9526976346969604,424.7435334737828,1898.8976182116105
9,0.9680823543492485,0.9999462366104126,575.6055419007491,392.356953710206,0.9999819993972778,611.3429014513108,362.1312836493446,0.9998576641082764,542.3954675795881,357.8115490402622,0.9995948076248169,675.6198794475656,406.88604576310865,0.9930249452590942,494.24288974719104,395.8801498127341,0.9928973913192749,734.1154611423221,627.2138342696629,0.984481930732727,385.9407186329588,626.4300971441947,0.9872499704360962,810.6955173220974,871.2750907069288,0.9902849197387695,309.94542954119856,891.2967433286517,0.9952236413955688,572.9398554541199,781.8272325608615,0.9791548252105713,419.1252633426967,791.0491280430712,0.879118800163269,636.4145891853932,1183.137655079588,0.9242113828659058,442.37878920880155,1188.0369264981273,0.9703442454338074,602.8736540262173,1549.0916139981273,0.955115556716919,437.0625585205993,1545.9057525749065,0.8524867296218872,572.2568469101124,1918.1437265917605,0.9544249773025513,422.60167954119856,1898.4455465823971
