Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.8011666518800399,0.9995170831680298,583.1324613764045,413.89216848080525,0.9999911785125732,625.4103025514983,380.4169958450375,0.9999423027038574,532.2888137874533,378.3486584152622,0.9576266407966614,666.0873858848315,422.6843033122659,0.9992305636405945,434.6478522940075,443.201405957397,0.9377830624580383,748.7051585908241,736.351021184457,0.9478429555892944,336.3385855571162,731.3102030664794,0.9960536956787109,946.5743504213483,1075.0384041432585,0.9853826761245728,145.09941186797755,1042.950462312734,0.9629032611846924,947.6860955056179,786.6583274812734,0.990551233291626,199.12694580992513,822.8991104868915,0.7758238911628723,673.9343398876406,1435.8579119850187,0.6230154633522034,413.59770014044943,1277.476006554307,0.554804801940918,649.4856770833333,1895.0706636235955,0.7041597366333008,587.8393463249064,1883.684456928839,0.1270694136619568,541.6007578417604,1887.3371664325844,0.05813512206077576,705.5786955758426,1782.717111423221
1,0.7939535835210014,0.9994691014289856,590.2554424157304,410.412972553839,0.9999901056289673,631.5666695926966,376.5745698735955,0.9999446868896484,536.8038974719101,378.27781191479403,0.9729946255683899,676.77032127809,418.9566508661049,0.9996596574783325,444.4435422518727,441.13654318820227,0.9102509617805481,747.1673835440076,727.9700667134832,0.8661786317825317,307.8522208567416,734.1507198033709,0.9951581358909607,953.1721090823971,1070.4082543305244,0.9882641434669495,145.74043188202245,1039.2478639981273,0.9858444333076477,945.623683286517,755.6724748361423,0.9909905195236206,171.09748068820227,791.3363910346442,0.79121994972229,667.8244967228466,1437.5427200374531,0.855006992816925,416.7679804541199,1300.8390390917602,0.48418372869491577,648.8508748829588,1922.922811329588,0.5232862234115601,607.3560393258426,1935.0845622659176,0.07579848170280457,401.64077130149815,1951.7550327715358,0.05897054076194763,542.9180565308989,1935.2465180243446
2,0.8030762462054982,0.9991180896759033,599.3117246020599,408.46785756086143,0.9999843835830688,639.1647647471912,374.23674508426967,0.9998675584793091,548.3678604868915,374.8436036985019,0.977530837059021,687.6943615402622,418.6161341292135,0.9992959499359131,450.0816362359551,436.1385548338015,0.9593021869659424,764.7651860955057,722.5607151217229,0.9113070368766785,310.7958801498128,729.4907244850187,0.9935153722763062,943.1127106741574,1058.8592872191011,0.9933181405067444,144.32412365402627,1027.173820809925,0.9706041812896729,942.6514220505619,693.9756700608615,0.9975073337554932,194.5670938670412,775.4888664559925,0.7166410088539124,667.4974397237829,1420.6637698970037,0.8951137065887451,427.87321512172286,1302.2786458333335,0.4167087972164154,487.25260416666674,1824.704763576779,0.6655349731445312,581.8320605102997,1852.0147179307116,0.11372774839401245,525.2813377808989,1936.2653616573034,0.04321888089179993,542.2629915730338,1938.0224426498128
3,0.783682232393938,0.9996852874755859,585.5952276451311,408.69480775983146,0.9999470710754395,651.2878189372659,374.7649300678839,0.9997903108596802,559.1901480571162,375.69467608848316,0.9392116069793701,698.1093457397003,416.65536487593636,0.9993051886558533,457.66575959737827,436.4213190543071,0.9518728852272034,746.0261587078653,721.3995201310862,0.9557242393493652,319.27361306179773,713.3399900514981,0.98871910572052,940.9392556179776,1053.5429833801497,0.9935356974601746,150.90494791666674,1018.6860662453184,0.9573038816452026,944.3717813670412,790.2348139044944,0.9872795343399048,222.32370669475654,767.8659000468165,0.7586473226547241,666.2074262640449,1391.9604400749065,0.7327044010162354,421.2707748127341,1297.2945926966293,0.4091458022594452,658.8830612125469,1897.5210674157304,0.5675243139266968,591.081094920412,1888.4252106741574,0.051535069942474365,533.2025397940075,1937.0523174157304,0.030666232109069824,590.0969247425094,1948.2196570692884
4,0.7847258553785437,0.999782919883728,595.1488617743446,413.3394048455056,0.9999196529388428,638.1767907303372,382.56806677200376,0.9997773170471191,564.1398203417604,378.58493533473785,0.8579649925231934,670.9901685393259,427.5735896535581,0.9995729923248291,472.4801761470038,444.63713570926967,0.9723356366157532,760.7563055945693,728.9288535814607,0.9661250114440918,337.3158795646068,709.1562792602997,0.9833313226699829,954.8504798689139,1055.6895189606741,0.987406849861145,157.49524520131092,1022.4311651451311,0.9824772477149963,958.8175912921349,784.2857560861423,0.9897429943084717,211.8093837780899,755.2281571863297,0.8403689861297607,667.8724836142324,1428.8720154494383,0.8144392371177673,432.06307057584274,1300.1060685861423,0.40012797713279724,649.6289794007491,1907.4992684925094,0.41375768184661865,598.3709328183521,1903.6272530430713,0.09201318025588989,394.94886762640454,1947.3393609550562,0.04119554162025452,381.92605922284645,1950.0466701779028
5,0.7966703492052415,0.9997684955596924,603.4036312031835,415.6986628043071,0.9999617338180542,644.5193264279026,387.45702393492513,0.9997152090072632,547.0217404026217,380.3495874297753,0.9271490573883057,682.7612213249065,442.3599163155431,0.9992379546165466,479.4166959269663,448.0598226825843,0.9531137943267822,764.090004681648,735.3735077247192,0.9598543643951416,354.3112125468165,705.4212020131087,0.9889312982559204,931.947419241573,1058.1072975187267,0.9830410480499268,170.99916608146066,1019.6234199438203,0.9770949482917786,945.4188611891386,769.5779933286517,0.99461829662323,224.05620903558054,770.3806033473783,0.7120392322540283,676.0505179073034,1435.3919417134832,0.7532959580421448,431.94595622659176,1294.5354927434457,0.5237086415290833,648.046728698502,1909.0816654962548,0.6714785695075989,386.7869996488764,1856.8826076779028,0.06403273344039917,521.5674011001873,1941.3781601123596,0.03635460138320923,383.54203242041206,1974.2109960205994
6,0.8045529179713306,0.9997514486312866,611.1282040028091,412.7616236540262,0.9999840259552002,652.2395101825844,381.6177288155431,0.9999200701713562,559.3845827481274,378.5806925912921,0.9473519325256348,687.6179190074906,425.6842886821161,0.9992988109588623,485.93384246254686,443.42590560627343,0.9672715663909912,771.9202071629213,730.5247103230338,0.976277232170105,373.39638927902627,691.5833479634832,0.9870921969413757,936.6874414794008,1054.4594891151685,0.9670408964157104,179.89290730337086,1014.7855220037453,0.9837102293968201,951.1284234550562,756.2156191479401,0.9971116781234741,251.98882256554305,752.08984375,0.7936580181121826,685.2375936329588,1423.9966643258429,0.8313924670219421,434.8446278089888,1306.4966643258426,0.4393407106399536,646.2382227294008,1921.177580758427,0.5347200632095337,601.1232297518727,1906.27267673221,0.16486108303070068,529.7976650280899,1923.5830699906367,0.08861717581748962,530.0994850187266,1923.4572507022472
7,0.7936405311612522,0.9997034072875977,613.9640390917602,411.98132461376406,0.9999856352806091,654.8245845037454,381.27384714419475,0.9999247789382935,561.5276802434457,377.5429760650749,0.9476730823516846,688.7919153792136,425.7361891385768,0.999146580696106,489.28363471441946,445.363047167603,0.9732263684272766,759.0377018960673,721.8153821395132,0.9762778282165527,368.42133368445695,686.3331724016854,0.988534688949585,939.9967813670412,1051.6991455992509,0.9656400680541992,176.95978171816478,1013.1774490870787,0.9951330423355103,947.1841350655432,741.4150280898876,0.9950708150863647,254.6551673689139,758.6964536516854,0.8096645474433899,684.9556706460673,1419.6029377340824,0.8021789193153381,425.99880032771534,1304.4339595037454,0.5154745578765869,649.0237301029963,1911.668129681648,0.40355926752090454,592.162116690075,1890.6062734082398,0.08764299750328064,529.0105629681648,1940.2902621722847,0.03305244445800781,536.2328827247192,1939.7605044475656
8,0.8129132635453168,0.9997421503067017,612.3272179307116,416.58298220973785,0.999980628490448,652.3185861423221,386.2393199906367,0.9999139904975891,559.5767497659176,379.5726898993446,0.9557541608810425,690.2370084269664,434.2880237593633,0.9992907047271729,487.24938553370794,443.9425327715356,0.9573303461074829,763.3391122425094,729.8213658707865,0.9769032001495361,377.019765332397,690.2841906601124,0.9836726188659668,928.7305419007491,1054.5213746488764,0.9772568941116333,168.23311680711618,1013.3015859082398,0.9898543953895569,939.5877223782772,756.632505266854,0.9964849948883057,251.52841175093636,757.0689957865169,0.8110193014144897,677.1656279260301,1435.0023408239701,0.8585420250892639,429.3134802200375,1304.7246605805244,0.48964837193489075,654.1695195458801,1901.5684983614233,0.7182766199111938,574.7479956694757,1852.2112008426966,0.0719582736492157,722.8731419709738,1746.463600187266,0.033896803855895996,730.0156542602997,1738.8369030898878
9,0.7990639104562647,0.999685525894165,614.7648934925094,419.1537189840824,0.9999791383743286,653.4567386470037,387.21617509363296,0.9999151229858398,560.2212810159176,380.57595242275283,0.9595436453819275,689.9653265449438,431.7719305945693,0.9992102980613708,482.5690543071162,441.9009319405431,0.9525473117828369,765.7373595505619,733.6394692181648,0.9726582765579224,372.03520014044943,687.38047167603,0.9810623526573181,926.478522940075,1056.8397413389514,0.9687045812606812,174.37379301264048,1013.045704588015,0.9840067625045776,937.4640098314608,763.0255881320224,0.9966598749160767,250.91555477528095,758.794695107678,0.7700591683387756,680.0100948033707,1415.1460088951312,0.8359142541885376,425.21850128745325,1308.7681413857679,0.4069156050682068,674.6929131554307,1870.1291842228466,0.6378659009933472,588.6254242743446,1853.3842462546818,0.07878968119621277,739.4796055711611,1743.3921465355807,0.04056897759437561,743.3763459737829,1731.2617041198503
