Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.7632674382013434,0.9998063445091248,520.7748127340824,864.8869820926967,0.9999933838844299,559.2891210205993,827.8709474485019,0.9999282360076904,478.9442883895132,836.600392088015,0.9985191822052002,606.1584152621724,854.7745493913858,0.9987971782684326,446.15848841292143,875.3991836376405,0.9885025024414062,689.372586025281,1074.0790320692884,0.9920955896377563,352.3924683988764,1082.1459503745318,0.9270747900009155,782.8103786282772,1218.742904377341,0.9921884536743164,286.20340297284645,1360.1593223314608,0.9982128143310547,752.1050591058054,1241.3080816947565,0.9981169700622559,347.3053458567416,1237.1124473314608,0.8672119379043579,628.8454617275281,1623.20078417603,0.8167170286178589,435.5474602059926,1706.657742275281,0.15786153078079224,662.4467462546818,1924.9432350187267,0.10936033725738525,391.13288565074913,1938.868211610487,0.061665236949920654,378.51613705524346,1954.1390156835207,0.06949493288993835,672.2820839185395,1887.0534878277153
1,0.7675232448998619,0.9997749328613281,520.4143989934457,864.7763050093633,0.9999920129776001,558.9123215121723,827.2305126404494,0.9999264478683472,479.03953066479403,835.8527914325844,0.9984655380249023,606.3391707631085,855.3054043773409,0.9989581108093262,421.82935393258435,876.1723870552435,0.9855232238769531,684.5937207397003,1073.8268082865168,0.9840199947357178,355.9480337078652,1091.754228113296,0.9174359440803528,805.3069405430713,1263.3669826779026,0.9921157360076904,297.1227615870787,1353.6370552434457,0.9990636110305786,738.504213483146,1219.5548776919477,0.9992141723632812,326.6005383895132,1223.1865197799625,0.8594800233840942,640.0128745318352,1667.8120610955057,0.8641400337219238,435.65718632958806,1687.7473958333335,0.1887255311012268,641.708362593633,1873.28125,0.06382030248641968,377.21939372659176,1942.6338658707866,0.10808277130126953,381.12015742041206,1943.20078417603,0.08915677666664124,376.82233146067415,1941.6630091292136
2,0.7716258448712966,0.9997735023498535,520.1797313904494,864.6030108848315,0.9999920129776001,558.7734813904494,827.0936475889513,0.9999271631240845,478.74283122659176,835.8189226357678,0.9985369443893433,606.3377077481273,855.4148378979401,0.9989778995513916,422.2335849719101,876.3868650514981,0.9900732040405273,686.4997366573034,1069.7295616807116,0.9894115924835205,361.6274578651686,1088.6930887172284,0.9639357328414917,808.2743738295881,1266.7799040262173,0.9933626651763916,291.7840736189139,1359.2914618445693,0.9989756345748901,745.0661282771537,1194.3840706928838,0.9993839263916016,340.1344510767791,1203.0721851591761,0.8807540535926819,636.4769136235955,1668.050239934457,0.8337650895118713,428.47605044475654,1639.7315367509364,0.24488037824630737,637.0899900514983,1864.8851533239701,0.07139050960540771,396.95926966292143,1923.3979985955057,0.08108192682266235,377.12107911985026,1948.1425561797753,0.07341712713241577,676.778514161985,1951.254389044944
3,0.7684342387844535,0.9997807741165161,520.4258836610487,864.5068908005618,0.9999919533729553,558.8508017322098,827.0861130617977,0.9999297857284546,478.8288565074906,835.8330407303371,0.9985195398330688,606.5583304073034,855.5918627106741,0.9989955425262451,422.55874005149815,876.3234433520599,0.9889416694641113,680.3958918539327,1071.0464946161048,0.9926553964614868,358.33333333333337,1084.6875,0.8257297277450562,791.5736920646068,1243.9770599250937,0.9904913306236267,280.9692474250936,1353.8247600655432,0.9996892809867859,744.6080582865168,1169.4330816947565,0.9996932744979858,323.9994440543071,1163.2095622659176,0.9002244472503662,642.5174098782772,1658.6208157771537,0.8820334672927856,432.96253218632967,1677.8669241573034,0.2833927869796753,637.6847787921349,1864.9243621254682,0.05355986952781677,372.05868153089887,1948.514454588015,0.0709170401096344,692.164530664794,1958.9897881554307,0.07883617281913757,675.4863793305244,1951.053663389513
4,0.7582114584305707,0.9998005628585815,520.6731331928839,864.2283327481274,0.9999924898147583,559.2092404026217,826.9798981741574,0.9999321699142456,478.7995230571162,835.7650105337079,0.9984883069992065,606.8434720271537,856.1929424157304,0.999057412147522,422.77965531367045,876.3049362125469,0.9808706045150757,676.7025836844571,1071.2928663389514,0.9918503761291504,353.3270423689139,1079.7834737827716,0.8031309843063354,793.2360428370787,1267.989524812734,0.9935647249221802,274.6090823970038,1351.3632373595506,0.9984846115112305,747.7980893024344,1156.936007724719,0.9996414184570312,326.5093925561798,1161.7319171348315,0.9023309946060181,636.0383017322097,1661.468281835206,0.8734023571014404,431.2902329119851,1687.464302434457,0.11432358622550964,659.1134860720974,1927.9220798220974,0.05108889937400818,368.03158649344573,1948.4600304307116,0.08040428161621094,669.4455173220974,1909.935627340824,0.10323101282119751,663.7065484550562,1899.886177434457
5,0.7587449760997996,0.9997860193252563,520.4717491807116,863.6044300093633,0.9999924898147583,559.4420060861423,826.4489700374533,0.9999263286590576,478.88562148876406,834.8331431413858,0.9985438585281372,606.6576691245318,856.5278996956929,0.9990489482879639,423.0280752574906,875.886879681648,0.9811238050460815,674.3766824672284,1070.6839595037454,0.9885528087615967,344.6052054073034,1075.4011587078653,0.7891687154769897,791.3937412219102,1293.2907595973784,0.9947419166564941,268.96484375,1349.9473314606741,0.9989656209945679,742.1838424625469,1145.6839595037454,0.9992976188659668,324.9209240402622,1149.3913857677903,0.9192965030670166,637.1234930945693,1656.756788389513,0.8551641702651978,433.88525573501875,1688.4714419475656,0.1319839358329773,637.2601386938202,1879.4775573501872,0.05655398964881897,384.25832455524346,1921.758690308989,0.08186835050582886,670.3279348080525,1916.9674625468165,0.10464951395988464,664.903441011236,1906.3721617509364
6,0.7502833394443288,0.9997999668121338,520.7725450608615,862.9883544007491,0.9999926090240479,559.2434018024345,826.2205202481274,0.9999263286590576,478.6984287219101,834.5504154962547,0.9986016750335693,606.3908151919477,855.845476357678,0.9991356730461121,422.97079822097385,875.4443176498128,0.9812021851539612,675.3295441245318,1073.0884246254682,0.989192008972168,346.99555243445695,1076.491178019663,0.607722818851471,796.6327978698503,1289.4433227996255,0.9913976192474365,262.75792954119856,1345.986949906367,0.9990375638008118,747.3825930477528,1140.4233965355807,0.9994127750396729,309.1492567883895,1134.934530079588,0.90069580078125,634.7608702013108,1668.9505793539327,0.8525498509407043,431.4625760767791,1690.9058988764045,0.18726077675819397,633.4144575140449,1872.62186914794,0.07240089774131775,651.524534761236,1927.1557525749065,0.07962369918823242,664.7918129681648,1913.769458099251,0.09686452150344849,658.7516093164795,1903.4439372659176
7,0.7520211479243111,0.9997812509536743,520.3570488061798,862.7193059456929,0.9999920725822449,558.92344042603,825.8832221441947,0.9999128580093384,478.26661985018734,834.3000936329588,0.9987086653709412,605.7495025749065,856.248829588015,0.9990603923797607,421.9485896535581,875.0094364466293,0.9812664985656738,673.1986628043071,1075.4475362827716,0.9719465970993042,363.31892263576776,1076.7790262172284,0.6457100510597229,805.3107443820224,1294.3732443820224,0.9923449158668518,256.4747922518727,1345.7533064138577,0.9984410405158997,747.6874853698503,1133.190396769663,0.9990605711936951,307.73605746722853,1136.603830173221,0.8785886168479919,634.7332192181648,1669.2434749531835,0.842927098274231,435.2990402621723,1695.4564606741574,0.19609859585762024,648.825857326779,1916.2447331460676,0.06986594200134277,374.0826164559926,1932.9728464419477,0.09729209542274475,667.8866748595506,1911.4562851123596,0.11336225271224976,662.3698648174159,1898.0312207397005
8,0.7624703522990731,0.999761700630188,519.5398817883895,862.4331402153558,0.9999913573265076,558.4816830524345,825.3418334503746,0.9998966455459595,477.00316011235964,834.2547401685393,0.9987685084342957,605.5342199204119,856.5136352996255,0.9990469217300415,421.0230132256554,874.5638020833334,0.9833636283874512,664.3277446161048,1076.9561973314608,0.9669954776763916,365.7758368445693,1075.7838102762173,0.8242661356925964,804.4469071863296,1302.9899637172284,0.9945851564407349,252.06146125936334,1347.0065250468165,0.995089054107666,747.480322448502,1131.5129769428838,0.9993730783462524,312.4534761235956,1127.0444902855807,0.8555763959884644,637.4738851825844,1670.3979400749065,0.8323267102241516,432.851489349251,1693.052434456929,0.21883386373519897,634.646023525281,1871.121400983146,0.07182914018630981,374.83175327715355,1930.4160814606741,0.09880229830741882,665.0873419943821,1906.4238061797753,0.12348991632461548,658.1540408473784,1891.4637464887642
9,0.7628787650781519,0.9997453689575195,519.0945400280899,862.2717696629214,0.9999908804893494,557.8991836376405,825.3631934691011,0.9998893737792969,476.72657713014985,834.3571512172285,0.9988772869110107,605.5593106273409,856.6954149110487,0.9990261793136597,420.7693264279027,874.8280225889513,0.9860819578170776,667.1891824672284,1080.119455173221,0.9785290956497192,376.6447945926967,1074.9790788857679,0.8550595641136169,810.8345037453184,1308.3094861891386,0.995130717754364,252.4192415730338,1347.7204763576779,0.994615375995636,751.2393931413858,1127.6823648174159,0.9994453191757202,318.1163682116105,1115.5429980102997,0.8475159406661987,635.5333421114233,1672.8130852059926,0.8401002883911133,431.29886470037457,1686.4676966292136,0.1580618917942047,632.7699262640449,1868.114612593633,0.08222737908363342,376.7404757724719,1930.4187148876406,0.09896659851074219,663.8894984784645,1904.0436271067417,0.13567578792572021,657.6592491807116,1892.1117158239701
