Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.950012487523696,0.9997932314872742,603.4705641385768,236.131367772706,0.9999579191207886,631.7515946863296,202.8781893726592,0.9992883801460266,539.5663623595506,203.31014454588015,0.9996711015701294,689.2779289559926,248.7300481331929,0.9958434104919434,495.00468164794006,248.302774607912,0.9915884733200073,766.8098958333335,498.4028996956929,0.9954121708869934,457.59714419475654,476.5693395950375,0.9951857328414917,791.4461903089889,785.5402914325842,0.9916349053382874,311.484375,751.8381320224719,0.9601303339004517,750.1082631086142,944.7602849953183,0.994551420211792,373.18117977528095,511.0631364115169,0.8836454153060913,674.4234257958801,1044.4939431179776,0.852574348449707,478.0597495318352,1037.8798718398878,0.9405040740966797,430.6262435627341,1453.9217579588014,0.73993319272995,434.4551000702247,1443.876258192884,0.8888702392578125,438.618987008427,1752.952656835206,0.921627938747406,662.6976533239701,1762.2624063670412
1,0.9489635684910942,0.9998234510421753,602.7559544709738,236.6554928897472,0.9999566078186035,631.256803019663,202.5393916783708,0.9993792772293091,539.2411341292135,203.70722509948502,0.999674379825592,688.9810832162921,249.0087341994382,0.9958707094192505,494.2040466994382,249.37759685159176,0.9909766912460327,767.1511440777153,498.34737827715355,0.9938954710960388,453.8446570692885,486.81326076779027,0.9947665929794312,790.3693381320224,786.5278265449439,0.9922744035720825,311.5358731273409,752.2274403089888,0.9444999694824219,745.9922899110488,946.0987242509364,0.9936321973800659,371.72591877340824,513.2783239700375,0.9254142045974731,693.4464975421349,1035.327203300562,0.8873719573020935,484.63797694288394,1032.5697126638577,0.9607827663421631,434.4889688670412,1455.9838775749065,0.646685004234314,431.99562558520597,1443.2023934925094,0.9163286685943604,446.0620757256554,1745.81797167603,0.8910483121871948,664.2340385065543,1765.318205758427
2,0.9559874990407158,0.9998143911361694,602.6149929775281,235.56117597144197,0.9999526143074036,631.2821863295881,202.0989693059457,0.9993821382522583,566.5344101123596,199.51100553019663,0.9996783137321472,689.7263430477528,248.239298045412,0.994773268699646,494.30755500936334,247.56786560744382,0.9914828538894653,770.2251580056179,499.51058491338955,0.9958703517913818,456.4423133192885,473.81012991573033,0.9958400130271912,789.9315308988764,787.4359930945693,0.9915157556533813,312.2063728932585,751.9679014513109,0.9608856439590454,752.0355658941949,943.7478054775281,0.9966415166854858,372.10630266853934,510.09249912219104,0.9049505591392517,691.8989934456929,1030.1208450374531,0.8717982769012451,485.1037277621723,1028.4636879681648,0.9312388896942139,464.1261411516854,1454.6240051498128,0.8333978652954102,435.37921348314615,1445.8860018726593,0.9364456534385681,448.1348753511236,1748.8104225187267,0.8481193780899048,653.6957952949438,1772.8148408239701
3,0.9653069026329938,0.9998477697372437,602.371254681648,234.435587107912,0.9999535083770752,641.1023817883895,199.7111094042603,0.9994080066680908,566.1885533707865,198.83064870084272,0.9996480345726013,690.3133778089889,244.78943556882024,0.9941242933273315,494.773598431648,244.31075535463484,0.9909400343894958,767.71484375,497.76670763108615,0.9967865943908691,460.83874648876406,462.22630647237827,0.9948445558547974,791.1538067649813,785.1200403792135,0.992655873298645,310.055082514045,751.2282010767791,0.9561048746109009,750.9595915262173,939.8260475187266,0.9974963665008545,373.0251492275281,507.3156966877341,0.9248677492141724,691.7763927902622,1023.807423338015,0.894310474395752,494.53007958801504,1012.7873361423221,0.9272141456604004,687.4995610955057,1433.273203417603,0.9225389957427979,438.7870874297753,1440.8846851591761,0.9191834330558777,449.1322858146068,1745.7805184925094,0.9002926349639893,680.8981448970037,1771.0840941011236
4,0.9627816256354836,0.999832272529602,603.0173220973783,234.18321702364233,0.9999513626098633,632.0806267556179,200.42176893141385,0.9994021654129028,566.9264981273409,199.09863647003746,0.9996752738952637,690.8887816011236,246.1686015039794,0.9947997331619263,496.4287072799626,243.83900617392322,0.9912756681442261,769.3391561329588,498.3781015917603,0.9954910278320312,462.31865929307116,467.88711376404495,0.9945812821388245,791.3753803838952,786.8664413623595,0.9925341606140137,309.8222436797753,749.6190308988764,0.9485628008842468,750.4206899578653,941.5723753511236,0.9979971647262573,373.0263196395132,508.0127501755618,0.9256917238235474,690.8734199438202,1025.4231039325844,0.8473563194274902,480.3793597846442,1032.152972846442,0.9281227588653564,687.0523905664795,1432.1478522940076,0.9167146682739258,437.0857473080524,1441.772881554307,0.9104996919631958,447.5266268726592,1744.7581636235955,0.9247995615005493,652.3086376404494,1763.5568820224719
5,0.9579145662924823,0.9998235702514648,601.9719247425094,232.60570283239701,0.9999657869338989,641.9653411750937,197.49038067649815,0.9993913769721985,565.1509831460675,197.2979393433989,0.9996848106384277,691.4135650749065,242.9411173045412,0.9953430891036987,496.96541432584274,242.64549683988764,0.9911071062088013,768.2275573501872,497.28248624765916,0.9947217702865601,460.5359755383895,454.0303868211611,0.9935526847839355,790.152665613296,775.6840326544944,0.9922405481338501,309.1275310159176,747.8724836142322,0.9448143243789673,749.8051264044943,940.6912745786517,0.9971468448638916,372.4699350421348,507.01519341058054,0.8971000909805298,676.6731039325844,1035.911019428839,0.88031005859375,477.12268843632967,1027.6417661516855,0.9295073747634888,687.3552346676031,1432.7018960674159,0.8716275095939636,435.47343164794006,1440.7830056179776,0.8875022530555725,447.2000819288389,1755.643287687266,0.9107084274291992,679.958669826779,1777.509216994382
6,0.9552670261439156,0.999830961227417,601.8849485018727,232.37026714653558,0.9999680519104004,642.081870318352,196.03627179892322,0.9993903636932373,565.0452071629214,196.87876726357678,0.9996774792671204,691.2604605571162,241.88619206460675,0.9948339462280273,496.26806823501875,242.5350392088015,0.9911338090896606,768.8691625702247,496.8559076544944,0.996550440788269,457.5013167134832,457.1321980337079,0.993144154548645,789.7023496020599,776.5145862593633,0.9913328886032104,308.29229576310865,749.5417837078652,0.9513808488845825,751.1963805009364,935.0874151451311,0.9970650672912598,371.58444522471916,507.0673133192884,0.9194923639297485,689.8189518960673,1021.2047196863297,0.9082094430923462,472.87533649344573,1024.0611832865168,0.9396212100982666,430.92645423689146,1454.2262113764045,0.7968709468841553,434.23264864232215,1444.5763108614233,0.8776457905769348,440.599689840824,1758.6840180243446,0.8833916783332825,652.7445429541199,1770.0288213951312
7,0.96073457773994,0.999815821647644,602.4416257022473,231.80547021301498,0.9999691247940063,642.3471149344571,195.33069624882958,0.9993722438812256,565.5535317181648,197.21566303838952,0.9996802806854248,691.7028762874531,241.92585805828654,0.9952763319015503,495.70641678370794,243.64433374297752,0.9910856485366821,769.550634948502,497.0600713951311,0.9962421655654907,451.62409293071164,456.4848139044944,0.9951422214508057,788.6025280898878,776.508514747191,0.9903386235237122,308.81093457397003,749.3789501404494,0.9781374931335449,753.1993943117977,929.796567766854,0.9978935122489929,371.451018258427,510.87287131320227,0.929009199142456,686.9068937265918,1016.0045060861423,0.8961319923400879,475.8770043305244,1018.7742860486892,0.9420949220657349,430.90919066011236,1460.344686329588,0.8234924077987671,435.9076544943821,1444.6444873595506,0.9124023914337158,443.91700316011236,1756.9724367977528,0.8864034414291382,660.9094832631085,1761.0957982209738
8,0.959312239113976,0.9998106956481934,603.1513342696629,232.1216094627809,0.999962568283081,642.7741690074906,197.11466014161985,0.9992280006408691,566.1900163857679,197.3594225479869,0.9996805191040039,691.5942474250937,242.81440191947567,0.995296835899353,496.47106156367045,243.19864451661985,0.9905670881271362,768.48438963015,497.1305887172285,0.9967164397239685,445.8590092462547,449.9603522940075,0.9940345287322998,787.6565426029963,777.4880032771536,0.9893659353256226,307.2450696395132,747.9417573735956,0.9662108421325684,751.2871605805244,925.884612008427,0.9973388314247131,368.22887406367045,511.90118796816483,0.9288308620452881,684.9518668071162,1011.3431940543071,0.9187564849853516,473.38673338014985,1024.3330114700375,0.935113787651062,687.2181501638577,1430.1980922284645,0.7532768249511719,432.43774871254686,1442.727645131086,0.9498870372772217,445.45828944288394,1743.7519019194758,0.8942307829856873,677.7604166666667,1765.5653089887642
9,0.9671139541794272,0.9998252391815186,597.55859375,232.73836171582397,0.9999719262123108,641.979459269663,193.32131832279964,0.9994320273399353,564.3995786516854,196.35486159878278,0.9996762275695801,690.8721763810861,241.25133500117042,0.9947664737701416,494.4607326779027,241.20870640215355,0.9907004833221436,766.1551234784645,495.6188553370787,0.9974738359451294,447.05319522471916,452.5170441245319,0.9940917491912842,786.236174508427,779.4104049625469,0.9877588748931885,306.7703212780899,748.8032537453183,0.9537224769592285,742.8751901919477,929.6845008192885,0.9970882534980774,369.4614641853933,514.625468164794,0.9189103841781616,670.7384568117977,1039.471412687266,0.9169284701347351,470.4209825608615,1026.3688699672284,0.9285984039306641,686.9620493913858,1430.1910697565543,0.9249873161315918,434.5207162921348,1443.999444054307,0.9245398044586182,443.20714829119856,1738.9527738764045,0.9124652743339539,676.7978991104869,1765.0490110018727
10,0.940214604139328,0.9998198747634888,598.6985750234082,231.56379842579588,0.9999745488166809,642.4169738998128,192.60992728815543,0.9993902444839478,564.877106741573,195.8090472846442,0.9997045993804932,690.2894575140449,239.8166659351592,0.9954392910003662,496.85312792602997,239.97578710205994,0.9917144775390625,765.510080173221,494.5934647120787,0.9953453540802002,446.07407244850185,451.34743679775283,0.9939810037612915,787.8238383661048,782.2945926966293,0.989789605140686,305.4305653089888,747.1633602528091,0.9696849584579468,767.1426585908241,918.7901597612359,0.9968903064727783,371.4698911516854,514.7599923923221,0.8752848505973816,673.9112242509364,1037.5899754213483,0.9244760274887085,467.4438933754682,1034.111876755618,0.9423255324363708,432.6555184925094,1454.6835498595506,0.49755075573921204,434.94564899344573,1443.2246313202247,0.9103221893310547,447.4515742041199,1751.1911867977528,0.9019546508789062,666.9490285580525,1762.8157186329588
